"","Time","Dallas","","Score","","Phoenix"
"2","12:00.0","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)","Jump ball: D. Powell vs. D. Ayton (C. Paul gains possession)"
"3","11:46.0","","","0-2","+2","C. Paul makes 2-pt jump shot from 16 ft (assist by J. Crowder)"
"4","11:29.0","Turnover by L. Doncic (bad pass; steal by M. Bridges)","","0-2","",""
"5","11:25.0","","","0-4","+2","M. Bridges makes 2-pt dunk from 1 ft (assist by D. Booker)"
"6","11:11.0","L. Doncic misses 2-pt jump shot from 9 ft","","0-4","",""
"7","11:09.0","","","0-4","","Defensive rebound by M. Bridges"
"8","11:04.0","","","0-6","+2","D. Booker makes 2-pt layup from 3 ft"
"9","10:51.0","Turnover by L. Doncic (traveling)","","0-6","",""
"10","10:41.0","","","0-6","","Personal foul by D. Finney-Smith (drawn by C. Paul)"
"11","10:31.0","","","0-6","","D. Booker misses 2-pt jump shot from 20 ft"
"12","10:28.0","Defensive rebound by J. Brunson","","0-6","",""
"13","10:21.0","Turnover by D. Finney-Smith (bad pass; steal by C. Paul)","","0-6","",""
"14","10:07.0","","","0-6","","D. Ayton misses 2-pt jump shot from 13 ft"
"15","10:05.0","Defensive rebound by D. Finney-Smith","","0-6","",""
"16","9:52.0","J. Brunson misses 2-pt jump shot from 11 ft","","0-6","",""
"17","9:50.0","","","0-6","","Defensive rebound by D. Booker"
"18","9:50.0","","","0-6","","Personal foul by J. Brunson (drawn by D. Booker)"
"19","9:31.0","","","0-9","+3","J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Booker)"
"20","9:16.0","L. Doncic makes 2-pt jump shot from 19 ft","+2","2-9","",""
"21","8:59.0","","","2-9","","D. Ayton misses 2-pt hook shot from 7 ft"
"22","8:57.0","Defensive rebound by L. Doncic","","2-9","",""
"23","8:35.0","R. Bullock misses 3-pt jump shot from 26 ft","","2-9","",""
"24","8:32.0","","","2-9","","Defensive rebound by C. Paul"
"25","8:24.0","","","2-9","","C. Paul misses 3-pt jump shot from 25 ft"
"26","8:22.0","Defensive rebound by L. Doncic","","2-9","",""
"27","8:06.0","D. Finney-Smith makes 2-pt layup from 2 ft","+2","4-9","",""
"28","7:45.0","","","4-11","+2","D. Ayton makes 2-pt layup from 2 ft (assist by D. Booker)"
"29","7:45.0","","","4-11","","Shooting foul by R. Bullock (drawn by D. Ayton)"
"30","7:45.0","","","4-12","+1","D. Ayton makes free throw 1 of 1"
"31","7:31.0","L. Doncic misses 3-pt jump shot from 26 ft","","4-12","",""
"32","7:28.0","","","4-12","","Defensive rebound by J. Crowder"
"33","7:22.0","","","4-12","","Shooting foul by R. Bullock (drawn by D. Booker)"
"34","7:22.0","","","4-13","+1","D. Booker makes free throw 1 of 2"
"35","7:22.0","S. Dinwiddie enters the game for R. Bullock","","4-13","",""
"36","7:22.0","","","4-14","+1","D. Booker makes free throw 2 of 2"
"37","7:01.0","L. Doncic makes 2-pt jump shot from 4 ft","+2","6-14","",""
"38","6:44.0","","","6-16","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by J. Crowder)"
"39","6:18.0","S. Dinwiddie misses 3-pt jump shot from 25 ft (block by C. Paul)","","6-16","",""
"40","6:17.0","","","6-16","","Defensive rebound by C. Paul"
"41","6:15.0","","","6-16","","M. Bridges misses 2-pt layup at rim"
"42","6:14.0","","","6-16","","Offensive rebound by D. Booker"
"43","6:13.0","","","6-16","","M. Bridges misses 2-pt jump shot from 10 ft"
"44","6:12.0","","","6-16","","Offensive rebound by D. Booker"
"45","6:11.0","","","6-16","","D. Booker misses 2-pt layup from 1 ft"
"46","6:10.0","","","6-16","","Offensive rebound by D. Booker"
"47","6:09.0","","","6-18","+2","D. Booker makes 2-pt layup from 2 ft"
"48","6:09.0","Dallas full timeout","","6-18","",""
"49","6:09.0","M. Kleber enters the game for D. Powell","","6-18","",""
"50","5:47.0","L. Doncic misses 3-pt jump shot from 26 ft","","6-18","",""
"51","5:45.0","","","6-18","","Defensive rebound by J. Crowder"
"52","5:35.0","","","6-20","+2","D. Ayton makes 2-pt jump shot from 10 ft"
"53","5:10.0","J. Brunson misses 2-pt layup from 4 ft (block by D. Booker)","","6-20","",""
"54","5:10.0","Offensive rebound by Team","","6-20","",""
"55","5:10.0","","","6-20","","Technical foul by D. Booker"
"56","5:10.0","L. Doncic makes technical free throw","+1","7-20","",""
"57","5:07.0","J. Brunson misses 2-pt jump shot from 17 ft","","7-20","",""
"58","5:05.0","","","7-20","","Defensive rebound by M. Bridges"
"59","4:58.0","","","7-20","","Shooting foul by M. Kleber (drawn by D. Booker)"
"60","4:58.0","","","7-21","+1","D. Booker makes free throw 1 of 2"
"61","4:58.0","","","7-22","+1","D. Booker makes free throw 2 of 2"
"62","4:45.0","Offensive foul by J. Brunson (drawn by D. Booker)","","7-22","",""
"63","4:45.0","Turnover by J. Brunson (offensive foul)","","7-22","",""
"64","4:45.0","D. Bertans enters the game for J. Brunson","","7-22","",""
"65","4:45.0","","","7-22","","C. Johnson enters the game for J. Crowder"
"66","4:45.0","","","7-22","","C. Payne enters the game for C. Paul"
"67","4:28.0","","","7-22","","C. Johnson misses 3-pt jump shot from 27 ft"
"68","4:24.0","Defensive rebound by L. Doncic","","7-22","",""
"69","4:12.0","M. Kleber makes 3-pt jump shot from 24 ft (assist by L. Doncic)","+3","10-22","",""
"70","3:56.0","","","10-24","+2","D. Ayton makes 2-pt hook shot from 8 ft (assist by M. Bridges)"
"71","3:37.0","Shooting foul by D. Ayton (drawn by L. Doncic)","","10-24","",""
"72","3:37.0","L. Doncic makes free throw 1 of 2","+1","11-24","",""
"73","3:37.0","","","11-24","","J. McGee enters the game for D. Ayton"
"74","3:37.0","L. Doncic makes free throw 2 of 2","+1","12-24","",""
"75","3:21.0","","","12-26","+2","J. McGee makes 2-pt dunk at rim (assist by M. Bridges)"
"76","3:08.0","M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","15-26","",""
"77","2:51.0","","","15-26","","Turnover by C. Johnson (bad pass; steal by D. Bertans)"
"78","2:39.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","18-26","",""
"79","2:19.0","","","18-29","+3","D. Booker makes 3-pt jump shot from 26 ft (assist by J. McGee)"
"80","2:07.0","L. Doncic misses 2-pt jump shot from 6 ft","","18-29","",""
"81","2:06.0","","","18-29","","Defensive rebound by D. Booker"
"82","1:56.0","","","18-31","+2","D. Booker makes 2-pt jump shot from 16 ft"
"83","1:33.0","M. Kleber makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)","+3","21-31","",""
"84","1:15.0","","","21-31","","D. Booker misses 2-pt jump shot from 17 ft"
"85","1:14.0","Defensive rebound by L. Doncic","","21-31","",""
"86","1:07.0","L. Doncic makes 2-pt layup from 3 ft","+2","23-31","",""
"87","0:53.0","","","23-33","+2","C. Payne makes 2-pt jump shot from 12 ft (assist by D. Booker)"
"88","0:38.0","S. Dinwiddie misses 2-pt layup from 3 ft","","23-33","",""
"89","0:36.0","","","23-33","","Defensive rebound by D. Booker"
"90","0:31.0","","","23-33","","D. Booker misses 3-pt jump shot from 26 ft"
"91","0:29.0","Defensive rebound by S. Dinwiddie","","23-33","",""
"92","0:09.0","L. Doncic makes 2-pt jump shot at rim","+2","25-33","",""
"93","0:04.0","","","25-33","","Personal foul by D. Bertans (drawn by C. Johnson)"
"94","0:04.0","","","25-33","","Phoenix full timeout"
"95","0:04.0","J. Brunson enters the game for D. Finney-Smith","","25-33","",""
"96","0:04.0","","","25-33","","J. Crowder enters the game for J. McGee"
"97","0:04.0","","","25-34","+1","C. Johnson makes free throw 1 of 2"
"98","0:04.0","","","25-35","+1","C. Johnson makes free throw 2 of 2"
"99","0:02.0","Personal take foul by M. Bridges (drawn by J. Brunson)","","25-35","",""
"100","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"101","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"102","Time","Dallas","","Score","","Phoenix"
"103","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"104","11:48.0","D. Bertans misses 3-pt jump shot from 24 ft","","25-35","",""
"105","11:44.0","","","25-35","","Defensive rebound by C. Johnson"
"106","11:31.0","","","25-37","+2","C. Payne makes 2-pt jump shot from 16 ft"
"107","11:19.0","M. Kleber makes 3-pt jump shot from 27 ft (assist by S. Dinwiddie)","+3","28-37","",""
"108","10:57.0","","","28-40","+3","J. Crowder makes 3-pt jump shot from 25 ft"
"109","10:49.0","J. Brunson makes 2-pt layup from 8 ft","+2","30-40","",""
"110","10:49.0","Shooting foul by C. Johnson (drawn by J. Brunson)","","30-40","",""
"111","10:49.0","J. Brunson makes free throw 1 of 1","+1","31-40","",""
"112","10:42.0","","","31-40","","C. Payne misses 2-pt jump shot from 10 ft"
"113","10:40.0","Defensive rebound by R. Bullock","","31-40","",""
"114","10:35.0","R. Bullock misses 3-pt jump shot from 29 ft","","31-40","",""
"115","10:31.0","","","31-40","","Defensive rebound by L. Shamet"
"116","10:18.0","","","31-40","","L. Shamet misses 2-pt layup from 4 ft (block by M. Kleber)"
"117","10:17.0","Defensive rebound by D. Bertans","","31-40","",""
"118","10:12.0","M. Kleber misses 3-pt jump shot from 28 ft","","31-40","",""
"119","10:07.0","","","31-40","","Defensive rebound by C. Payne"
"120","10:00.0","","","31-42","+2","J. Crowder makes 2-pt jump shot from 9 ft (assist by C. Payne)"
"121","9:45.0","D. Bertans makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie)","+3","34-42","",""
"122","9:30.0","","","34-42","","Turnover by C. Johnson (bad pass; steal by S. Dinwiddie)"
"123","9:25.0","J. Brunson misses 2-pt layup from 2 ft","","34-42","",""
"124","9:24.0","","","34-42","","Defensive rebound by C. Johnson"
"125","9:19.0","","","34-45","+3","J. Crowder makes 3-pt jump shot from 23 ft (assist by L. Shamet)"
"126","8:52.0","J. Brunson misses 2-pt jump shot from 7 ft","","34-45","",""
"127","8:50.0","","","34-45","","Defensive rebound by C. Johnson"
"128","8:39.0","","","34-47","+2","C. Johnson makes 2-pt jump shot from 19 ft (assist by J. McGee)"
"129","8:28.0","S. Dinwiddie misses 2-pt layup from 2 ft","","34-47","",""
"130","8:27.0","","","34-47","","Defensive rebound by J. McGee"
"131","8:23.0","","","34-47","","Personal foul by J. Brunson (drawn by J. Crowder)"
"132","8:23.0","L. Doncic enters the game for D. Bertans","","34-47","",""
"133","8:23.0","J. Green enters the game for J. Brunson","","34-47","",""
"134","8:23.0","","","34-47","","D. Ayton enters the game for J. McGee"
"135","8:23.0","","","34-47","","M. Bridges enters the game for L. Shamet"
"136","8:17.0","Flagrant foul type 1 by J. Crowder (drawn by L. Doncic)","","34-47","",""
"137","8:17.0","","","34-47","","Turnover by J. Crowder (turnover)"
"138","8:17.0","","","34-47","","Instant Replay (Request: Ruling Stands)"
"139","8:17.0","L. Doncic makes flagrant free throw 1 of 2","+1","35-47","",""
"140","8:17.0","L. Doncic misses flagrant free throw 2 of 2","","35-47","",""
"141","8:17.0","Offensive rebound by Team","","35-47","",""
"142","8:17.0","","","35-47","","L. Shamet enters the game for C. Johnson"
"143","7:54.0","M. Kleber makes 3-pt jump shot from 24 ft (assist by S. Dinwiddie)","+3","38-47","",""
"144","7:37.0","","","38-49","+2","C. Payne makes 2-pt layup from 2 ft"
"145","7:22.0","L. Doncic misses 3-pt jump shot from 26 ft","","38-49","",""
"146","7:20.0","","","38-49","","Defensive rebound by M. Bridges"
"147","7:12.0","","","38-51","+2","D. Ayton makes 2-pt jump shot from 10 ft (assist by C. Payne)"
"148","6:49.0","L. Doncic misses 2-pt layup from 3 ft (block by J. Crowder)","","38-51","",""
"149","6:48.0","Offensive rebound by L. Doncic","","38-51","",""
"150","6:48.0","Personal foul by L. Shamet (drawn by L. Doncic)","","38-51","",""
"151","6:48.0","","","38-51","","Phoenix full timeout"
"152","6:48.0","D. Finney-Smith enters the game for S. Dinwiddie","","38-51","",""
"153","6:48.0","D. Powell enters the game for M. Kleber","","38-51","",""
"154","6:48.0","","","38-51","","D. Booker enters the game for L. Shamet"
"155","6:34.0","R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","41-51","",""
"156","6:34.0","Shooting foul by J. Crowder (drawn by R. Bullock)","","41-51","",""
"157","6:34.0","R. Bullock makes free throw 1 of 1","+1","42-51","",""
"158","6:21.0","","","42-51","","D. Ayton misses 2-pt jump shot from 9 ft"
"159","6:20.0","Defensive rebound by L. Doncic","","42-51","",""
"160","6:14.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","45-51","",""
"161","5:58.0","","","45-51","","J. Crowder misses 3-pt jump shot from 23 ft"
"162","5:56.0","Defensive rebound by R. Bullock","","45-51","",""
"163","5:48.0","D. Powell makes 2-pt dunk from 1 ft (assist by L. Doncic)","+2","47-51","",""
"164","5:37.0","","","47-51","","Turnover by C. Payne (step out of bounds)"
"165","5:37.0","","","47-51","","C. Paul enters the game for C. Payne"
"166","5:22.0","D. Finney-Smith misses 2-pt jump shot from 12 ft (block by M. Bridges)","","47-51","",""
"167","5:20.0","","","47-51","","Defensive rebound by J. Crowder"
"168","5:20.0","","","47-51","","Personal take foul by D. Finney-Smith (drawn by J. Crowder)"
"169","5:06.0","","","47-53","+2","D. Ayton makes 2-pt hook shot from 3 ft (assist by C. Paul)"
"170","4:55.0","L. Doncic misses 3-pt jump shot from 24 ft","","47-53","",""
"171","4:52.0","Offensive rebound by D. Finney-Smith","","47-53","",""
"172","4:41.0","L. Doncic misses 2-pt jump shot from 10 ft","","47-53","",""
"173","4:38.0","","","47-53","","Defensive rebound by J. Crowder"
"174","4:32.0","","","47-53","","Personal foul by J. Green (drawn by C. Paul)"
"175","4:32.0","M. Kleber enters the game for J. Green","","47-53","",""
"176","4:32.0","","","47-53","","T. Craig enters the game for J. Crowder"
"177","4:25.0","","","47-53","","T. Craig misses 3-pt jump shot from 26 ft"
"178","4:22.0","Defensive rebound by D. Powell","","47-53","",""
"179","4:03.0","R. Bullock misses 3-pt jump shot from 24 ft","","47-53","",""
"180","4:01.0","","","47-53","","Defensive rebound by T. Craig"
"181","3:49.0","","","47-55","+2","D. Ayton makes 2-pt jump shot from 14 ft (assist by C. Paul)"
"182","3:40.0","Personal foul by C. Paul (drawn by M. Kleber)","","47-55","",""
"183","3:40.0","M. Kleber makes free throw 1 of 2","+1","48-55","",""
"184","3:40.0","","","48-55","","C. Johnson enters the game for T. Craig"
"185","3:40.0","M. Kleber misses free throw 2 of 2","","48-55","",""
"186","3:38.0","","","48-55","","Defensive rebound by C. Paul"
"187","3:23.0","","","48-57","+2","D. Booker makes 2-pt dunk at rim"
"188","3:09.0","Shooting foul by C. Johnson (drawn by L. Doncic)","","48-57","",""
"189","3:09.0","L. Doncic makes free throw 1 of 2","+1","49-57","",""
"190","3:09.0","L. Doncic makes free throw 2 of 2","+1","50-57","",""
"191","3:00.0","","","50-60","+3","C. Johnson makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"192","2:42.0","L. Doncic makes 2-pt layup from 3 ft","+2","52-60","",""
"193","2:26.0","","","52-62","+2","C. Paul makes 2-pt jump shot from 18 ft"
"194","2:03.0","L. Doncic misses 3-pt jump shot from 25 ft","","52-62","",""
"195","2:02.0","","","52-62","","Defensive rebound by C. Paul"
"196","1:42.0","","","52-65","+3","C. Paul makes 3-pt jump shot from 25 ft"
"197","1:41.0","Dallas full timeout","","52-65","",""
"198","1:41.0","S. Dinwiddie enters the game for D. Powell","","52-65","",""
"199","1:32.0","Personal foul by M. Bridges (drawn by L. Doncic)","","52-65","",""
"200","1:32.0","L. Doncic makes free throw 1 of 2","+1","53-65","",""
"201","1:32.0","L. Doncic makes free throw 2 of 2","+1","54-65","",""
"202","1:18.0","","","54-67","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"203","0:49.0","L. Doncic misses 3-pt jump shot from 26 ft","","54-67","",""
"204","0:45.0","","","54-67","","Defensive rebound by D. Ayton"
"205","0:36.0","","","54-67","","C. Johnson misses 3-pt jump shot from 26 ft"
"206","0:34.0","Defensive rebound by D. Finney-Smith","","54-67","",""
"207","0:30.0","L. Doncic makes 2-pt layup from 4 ft","+2","56-67","",""
"208","0:05.0","","","56-69","+2","D. Ayton makes 2-pt jump shot from 18 ft"
"209","0:00.0","S. Dinwiddie misses 2-pt jump shot from 12 ft","","56-69","",""
"210","0:00.0","Offensive rebound by Team","","56-69","",""
"211","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"212","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"213","Time","Dallas","","Score","","Phoenix"
"214","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"215","11:45.0","D. Powell makes 2-pt layup from 2 ft (assist by L. Doncic)","+2","58-69","",""
"216","11:20.0","","","58-71","+2","D. Booker makes 2-pt jump shot from 15 ft"
"217","10:59.0","L. Doncic makes 2-pt jump shot from 13 ft","+2","60-71","",""
"218","10:59.0","Shooting foul by C. Paul (drawn by L. Doncic)","","60-71","",""
"219","10:59.0","L. Doncic makes free throw 1 of 1","+1","61-71","",""
"220","10:50.0","","","61-73","+2","D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker)"
"221","10:32.0","L. Doncic makes 2-pt layup from 3 ft","+2","63-73","",""
"222","10:09.0","","","63-73","","J. Crowder misses 3-pt jump shot from 23 ft"
