"","Time","Denver","","Score","","Golden State"
"2","12:00.0","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)","Jump ball: N. Jokic vs. D. Green (K. Thompson gains possession)"
"3","11:45.0","","","0-0","","S. Curry misses 2-pt layup from 7 ft"
"4","11:43.0","Defensive rebound by N. Jokic","","0-0","",""
"5","11:40.0","Shooting foul by D. Green (drawn by A. Gordon)","","0-0","",""
"6","11:40.0","A. Gordon misses free throw 1 of 2","","0-0","",""
"7","11:40.0","Offensive rebound by Team","","0-0","",""
"8","11:40.0","A. Gordon makes free throw 2 of 2","+1","1-0","",""
"9","11:19.0","","","1-2","+2","K. Thompson makes 2-pt jump shot from 15 ft (assist by S. Curry)"
"10","10:56.0","N. Jokic misses 2-pt hook shot from 9 ft","","1-2","",""
"11","10:55.0","Offensive rebound by A. Gordon","","1-2","",""
"12","10:54.0","A. Gordon makes 2-pt layup at rim","+2","3-2","",""
"13","10:43.0","","","3-5","+3","A. Wiggins makes 3-pt jump shot from 27 ft (assist by J. Poole)"
"14","10:19.0","N. Jokic makes 2-pt layup from 5 ft","+2","5-5","",""
"15","10:08.0","","","5-8","+3","S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green)"
"16","9:54.0","J. Green misses 2-pt layup from 5 ft (block by A. Wiggins)","","5-8","",""
"17","9:52.0","","","5-8","","Defensive rebound by S. Curry"
"18","9:48.0","","","5-8","","Turnover by A. Wiggins (bad pass; steal by N. Jokic)"
"19","9:41.0","Shooting foul by A. Wiggins (drawn by A. Gordon)","","5-8","",""
"20","9:41.0","A. Gordon misses free throw 1 of 2","","5-8","",""
"21","9:41.0","Offensive rebound by Team","","5-8","",""
"22","9:41.0","A. Gordon makes free throw 2 of 2","+1","6-8","",""
"23","9:29.0","","","6-8","","S. Curry misses 3-pt jump shot from 24 ft"
"24","9:27.0","Defensive rebound by N. Jokic","","6-8","",""
"25","9:20.0","Shooting foul by K. Thompson (drawn by A. Gordon)","","6-8","",""
"26","9:20.0","A. Gordon makes free throw 1 of 2","+1","7-8","",""
"27","9:20.0","A. Gordon misses free throw 2 of 2","","7-8","",""
"28","9:18.0","","","7-8","","Defensive rebound by K. Thompson"
"29","9:00.0","","","7-10","+2","D. Green makes 2-pt dunk from 4 ft (assist by K. Thompson)"
"30","8:47.0","W. Barton misses 3-pt jump shot from 26 ft","","7-10","",""
"31","8:44.0","Offensive rebound by N. Jokic","","7-10","",""
"32","8:33.0","N. Jokic makes 2-pt jump shot from 8 ft (assist by M. Morris)","+2","9-10","",""
"33","8:22.0","Violation by Team (kicked ball)","","9-10","",""
"34","8:22.0","","","9-10","","K. Looney enters the game for J. Poole"
"35","8:17.0","","","9-10","","Turnover by S. Curry (bad pass; steal by M. Morris)"
"36","8:12.0","M. Morris makes 2-pt layup from 4 ft (assist by A. Gordon)","+2","11-10","",""
"37","8:00.0","","","11-10","","Shooting foul by J. Green (drawn by K. Thompson)"
"38","8:00.0","","","11-11","+1","K. Thompson makes free throw 1 of 2"
"39","8:00.0","","","11-12","+1","K. Thompson makes free throw 2 of 2"
"40","7:45.0","N. Jokic misses 2-pt jump shot from 15 ft","","11-12","",""
"41","7:43.0","","","11-12","","Defensive rebound by S. Curry"
"42","7:35.0","","","11-15","+3","S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green)"
"43","7:20.0","N. Jokic makes 2-pt jump shot from 6 ft (assist by J. Green)","+2","13-15","",""
"44","7:12.0","","","13-15","","Shooting foul by W. Barton (drawn by K. Thompson)"
"45","7:12.0","","","13-16","+1","K. Thompson makes free throw 1 of 2"
"46","7:12.0","","","13-17","+1","K. Thompson makes free throw 2 of 2"
"47","6:54.0","A. Gordon makes 2-pt layup from 6 ft (assist by N. Jokic)","+2","15-17","",""
"48","6:43.0","","","15-19","+2","K. Looney makes 2-pt layup from 6 ft (assist by K. Thompson)"
"49","6:35.0","Turnover by N. Jokic (bad pass; steal by K. Thompson)","","15-19","",""
"50","6:32.0","","","15-21","+2","A. Wiggins makes 2-pt layup from 6 ft (assist by K. Thompson)"
"51","6:32.0","","","15-21","","Shooting foul by M. Morris (drawn by A. Wiggins)"
"52","6:32.0","","","15-21","","Golden State full timeout"
"53","6:32.0","A. Rivers enters the game for J. Green","","15-21","",""
"54","6:32.0","","","15-22","+1","A. Wiggins makes free throw 1 of 1"
"55","6:15.0","A. Rivers misses 3-pt jump shot from 23 ft","","15-22","",""
"56","6:12.0","","","15-22","","Defensive rebound by K. Looney"
"57","6:02.0","","","15-22","","S. Curry misses 3-pt jump shot from 27 ft"
"58","6:00.0","Defensive rebound by M. Morris","","15-22","",""
"59","5:49.0","W. Barton misses 2-pt layup from 5 ft","","15-22","",""
"60","5:47.0","","","15-22","","Defensive rebound by K. Thompson"
"61","5:36.0","","","15-22","","A. Wiggins misses 2-pt jump shot from 17 ft"
"62","5:34.0","Defensive rebound by W. Barton","","15-22","",""
"63","5:18.0","N. Jokic misses 2-pt hook shot from 6 ft","","15-22","",""
"64","5:16.0","Offensive rebound by A. Gordon","","15-22","",""
"65","5:12.0","A. Gordon makes 2-pt layup from 4 ft","+2","17-22","",""
"66","4:52.0","","","17-22","","D. Green misses 2-pt jump shot from 8 ft"
"67","4:50.0","Defensive rebound by N. Jokic","","17-22","",""
"68","4:46.0","Offensive foul by A. Gordon (drawn by D. Green)","","17-22","",""
"69","4:46.0","Turnover by A. Gordon (offensive foul)","","17-22","",""
"70","4:46.0","Technical foul by A. Gordon","","17-22","",""
"71","4:46.0","","","17-22","","S. Curry misses technical free throw"
"72","4:46.0","","","17-22","","Offensive rebound by Team"
"73","4:31.0","","","17-22","","D. Green misses 2-pt jump shot from 9 ft"
"74","4:29.0","","","17-22","","Offensive rebound by K. Looney"
"75","4:23.0","","","17-22","","K. Thompson misses 2-pt jump shot from 13 ft"
"76","4:21.0","Defensive rebound by N. Jokic","","17-22","",""
"77","4:10.0","Personal foul by K. Looney (drawn by N. Jokic)","","17-22","",""
"78","4:10.0","B. Hyland enters the game for W. Barton","","17-22","",""
"79","4:10.0","","","17-22","","G. Payton enters the game for D. Green"
"80","4:10.0","","","17-22","","J. Poole enters the game for K. Thompson"
"81","4:10.0","","","17-22","","O. Porter enters the game for A. Wiggins"
"82","4:06.0","Turnover by A. Gordon (bad pass; steal by G. Payton)","","17-22","",""
"83","3:59.0","","","17-22","","Personal foul by A. Rivers (drawn by S. Curry)"
"84","3:53.0","","","17-22","","J. Poole misses 3-pt jump shot from 26 ft"
"85","3:51.0","Defensive rebound by N. Jokic","","17-22","",""
"86","3:44.0","Turnover by N. Jokic (bad pass)","","17-22","",""
"87","3:29.0","","","17-22","","S. Curry misses 2-pt layup from 4 ft"
"88","3:27.0","Defensive rebound by N. Jokic","","17-22","",""
"89","3:22.0","M. Morris misses 3-pt jump shot from 22 ft","","17-22","",""
"90","3:21.0","","","17-22","","Defensive rebound by O. Porter"
"91","3:11.0","","","17-22","","J. Poole misses 2-pt layup from 5 ft"
"92","3:09.0","Defensive rebound by N. Jokic","","17-22","",""
"93","3:07.0","A. Gordon makes 2-pt layup from 6 ft (assist by N. Jokic)","+2","19-22","",""
"94","3:07.0","Shooting foul by K. Looney (drawn by A. Gordon)","","19-22","",""
"95","3:07.0","A. Gordon makes free throw 1 of 1","+1","20-22","",""
"96","2:50.0","","","20-22","","G. Payton misses 3-pt jump shot from 24 ft"
"97","2:48.0","","","20-22","","Offensive rebound by K. Looney"
"98","2:35.0","","","20-25","+3","J. Poole makes 3-pt jump shot from 28 ft"
"99","2:20.0","M. Morris makes 3-pt jump shot from 23 ft (assist by N. Jokic)","+3","23-25","",""
"100","2:00.0","","","23-27","+2","S. Curry makes 2-pt layup from 5 ft (assist by K. Looney)"
"101","1:59.0","Denver full timeout","","23-27","",""
"102","1:59.0","W. Barton enters the game for A. Gordon","","23-27","",""
"103","1:59.0","J. Green enters the game for A. Rivers","","23-27","",""
"104","1:46.0","N. Jokic misses 2-pt jump shot from 16 ft","","23-27","",""
"105","1:44.0","","","23-27","","Defensive rebound by G. Payton"
"106","1:31.0","","","23-27","","S. Curry misses 3-pt jump shot from 26 ft"
"107","1:29.0","Defensive rebound by N. Jokic","","23-27","",""
"108","1:19.0","Shooting foul by O. Porter (drawn by B. Hyland)","","23-27","",""
"109","1:19.0","Instant Replay (Request: Stands)","","23-27","",""
"110","1:19.0","B. Hyland makes free throw 1 of 2","+1","24-27","",""
"111","1:19.0","D. Cousins enters the game for N. Jokic","","24-27","",""
"112","1:19.0","","","24-27","","D. Green enters the game for K. Looney"
"113","1:19.0","B. Hyland makes free throw 2 of 2","+1","25-27","",""
"114","1:09.0","","","25-29","+2","J. Poole makes 2-pt layup from 6 ft"
"115","1:09.0","","","25-29","","Shooting foul by W. Barton (drawn by J. Poole)"
"116","1:09.0","","","25-30","+1","J. Poole makes free throw 1 of 1"
"117","0:54.0","M. Morris misses 2-pt jump shot from 8 ft","","25-30","",""
"118","0:51.0","","","25-30","","Defensive rebound by S. Curry"
"119","0:46.0","","","25-30","","Turnover by S. Curry (bad pass; steal by D. Cousins)"
"120","0:29.0","Offensive foul by B. Hyland (drawn by J. Poole)","","25-30","",""
"121","0:29.0","Turnover by B. Hyland (offensive foul)","","25-30","",""
"122","0:29.0","B. Forbes enters the game for W. Barton","","25-30","",""
"123","0:29.0","J. Green enters the game for D. Cousins","","25-30","",""
"124","0:29.0","","","25-30","","K. Thompson enters the game for G. Payton"
"125","0:17.0","","","25-30","","J. Poole misses 3-pt jump shot from 29 ft"
"126","0:14.0","Defensive rebound by M. Morris","","25-30","",""
"127","0:01.0","M. Morris misses 2-pt jump shot from 10 ft","","25-30","",""
"128","0:00.0","Offensive rebound by Team","","25-30","",""
"129","0:00.0","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter","End of 1st quarter"
"130","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q","2nd Q"
"131","Time","Denver","","Score","","Golden State"
"132","12:00.0","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter","Start of 2nd quarter"
"133","11:35.0","B. Hyland misses 3-pt jump shot from 25 ft","","25-30","",""
"134","11:33.0","","","25-30","","Defensive rebound by K. Thompson"
"135","11:12.0","","","25-30","","K. Thompson misses 3-pt jump shot from 29 ft"
"136","11:10.0","Defensive rebound by D. Cousins","","25-30","",""
"137","10:53.0","D. Cousins makes 2-pt hook shot from 8 ft (assist by F. Campazzo)","+2","27-30","",""
"138","10:42.0","","","27-30","","Personal foul by F. Campazzo (drawn by J. Poole)"
"139","10:34.0","","","27-30","","D. Green misses 2-pt dunk from 4 ft"
"140","10:31.0","","","27-30","","Offensive rebound by G. Payton"
"141","10:30.0","","","27-32","+2","G. Payton makes 2-pt dunk from 4 ft"
"142","10:12.0","D. Cousins makes 3-pt jump shot from 26 ft (assist by B. Forbes)","+3","30-32","",""
"143","10:00.0","","","30-32","","K. Thompson misses 3-pt jump shot from 27 ft"
"144","9:57.0","Defensive rebound by F. Campazzo","","30-32","",""
"145","9:42.0","B. Hyland misses 3-pt jump shot from 25 ft","","30-32","",""
"146","9:39.0","","","30-32","","Defensive rebound by O. Porter"
"147","9:34.0","","","30-34","+2","J. Poole makes 2-pt layup from 5 ft"
"148","9:08.0","B. Hyland misses 3-pt jump shot from 24 ft","","30-34","",""
"149","9:04.0","","","30-34","","Defensive rebound by K. Thompson"
"150","8:58.0","","","30-34","","Personal foul by B. Hyland (drawn by D. Green)"
"151","8:58.0","","","30-34","","K. Looney enters the game for D. Green"
"152","8:53.0","","","30-36","+2","K. Looney makes 2-pt dunk from 5 ft (assist by J. Poole)"
"153","8:53.0","Denver full timeout","","30-36","",""
"154","8:53.0","W. Barton enters the game for F. Campazzo","","30-36","",""
"155","8:53.0","A. Gordon enters the game for B. Forbes","","30-36","",""
"156","8:34.0","Shooting foul by K. Looney (drawn by D. Cousins)","","30-36","",""
"157","8:34.0","D. Cousins misses free throw 1 of 2","","30-36","",""
"158","8:34.0","Offensive rebound by Team","","30-36","",""
"159","8:34.0","D. Cousins makes free throw 2 of 2","+1","31-36","",""
"160","8:22.0","","","31-36","","G. Payton misses 2-pt layup from 4 ft"
"161","8:22.0","Defensive rebound by D. Cousins","","31-36","",""
"162","8:22.0","Personal foul by G. Payton (drawn by D. Cousins)","","31-36","",""
"163","8:22.0","Instant Replay (Request: Stands)","","31-36","",""
"164","8:13.0","Shooting foul by G. Payton (drawn by W. Barton)","","31-36","",""
"165","8:13.0","W. Barton misses free throw 1 of 2","","31-36","",""
"166","8:13.0","Offensive rebound by Team","","31-36","",""
"167","8:13.0","W. Barton makes free throw 2 of 2","+1","32-36","",""
"168","8:00.0","","","32-36","","O. Porter misses 3-pt jump shot from 27 ft"
"169","7:58.0","Defensive rebound by A. Gordon","","32-36","",""
"170","7:39.0","D. Cousins makes 2-pt jump shot from 7 ft (assist by B. Hyland)","+2","34-36","",""
"171","7:24.0","","","34-36","","O. Porter misses 2-pt jump shot from 19 ft"
"172","7:22.0","Defensive rebound by D. Cousins","","34-36","",""
"173","7:13.0","D. Cousins misses 3-pt jump shot from 27 ft","","34-36","",""
"174","7:10.0","Offensive rebound by A. Gordon","","34-36","",""
"175","7:08.0","J. Green misses 2-pt layup from 5 ft","","34-36","",""
"176","7:05.0","","","34-36","","Defensive rebound by K. Looney"
"177","6:57.0","","","34-39","+3","G. Payton makes 3-pt jump shot from 23 ft (assist by J. Poole)"
"178","6:47.0","Shooting foul by J. Poole (drawn by B. Hyland)","","34-39","",""
"179","6:47.0","B. Hyland makes free throw 1 of 2","+1","35-39","",""
"180","6:47.0","J. Green enters the game for D. Cousins","","35-39","",""
"181","6:47.0","N. Jokic enters the game for J. Green","","35-39","",""
"182","6:47.0","","","35-39","","S. Curry enters the game for J. Poole"
"183","6:47.0","","","35-39","","A. Wiggins enters the game for K. Thompson"
"184","6:47.0","B. Hyland makes free throw 2 of 2","+1","36-39","",""
"185","6:29.0","","","36-39","","S. Curry misses 2-pt jump shot from 11 ft"
"186","6:27.0","","","36-39","","Offensive rebound by S. Curry"
"187","6:24.0","","","36-39","","Turnover by S. Curry (bad pass; steal by A. Gordon)"
"188","6:18.0","B. Hyland misses 3-pt jump shot from 31 ft","","36-39","",""
"189","6:16.0","Offensive rebound by J. Green","","36-39","",""
"190","6:01.0","A. Gordon misses 3-pt jump shot from 24 ft","","36-39","",""
"191","5:59.0","","","36-39","","Defensive rebound by K. Looney"
"192","5:47.0","","","36-41","+2","S. Curry makes 2-pt jump shot from 20 ft (assist by K. Looney)"
"193","5:27.0","A. Gordon makes 2-pt layup from 5 ft (assist by N. Jokic)","+2","38-41","",""
"194","5:27.0","Shooting foul by A. Wiggins (drawn by A. Gordon)","","38-41","",""
"195","5:27.0","","","38-41","","Golden State full timeout"
"196","5:27.0","M. Morris enters the game for B. Hyland","","38-41","",""
"197","5:27.0","","","38-41","","D. Green enters the game for K. Looney"
"198","5:27.0","","","38-41","","J. Kuminga enters the game for G. Payton"
"199","5:27.0","","","38-41","","K. Thompson enters the game for O. Porter"
"200","5:27.0","A. Gordon makes free throw 1 of 1","+1","39-41","",""
"201","5:15.0","","","39-43","+2","J. Kuminga makes 2-pt dunk from 3 ft (assist by D. Green)"
"202","4:51.0","Personal foul by D. Green (drawn by N. Jokic)","","39-43","",""
"203","4:51.0","N. Jokic misses free throw 1 of 2","","39-43","",""
"204","4:51.0","Offensive rebound by Team","","39-43","",""
"205","4:51.0","N. Jokic makes free throw 2 of 2","+1","40-43","",""
"206","4:41.0","","","40-43","","D. Green misses 2-pt jump shot from 7 ft"
"207","4:39.0","Defensive rebound by A. Gordon","","40-43","",""
"208","4:35.0","W. Barton misses 2-pt layup from 6 ft (block by K. Thompson)","","40-43","",""
"209","4:33.0","Offensive rebound by J. Green","","40-43","",""
"210","4:19.0","M. Morris misses 3-pt jump shot from 23 ft (block by D. Green)","","40-43","",""
"211","4:17.0","","","40-43","","Defensive rebound by A. Wiggins"
"212","4:17.0","","","40-43","","Turnover by A. Wiggins (step out of bounds)"
"213","4:06.0","Turnover by N. Jokic (bad pass; steal by K. Thompson)","","40-43","",""
"214","3:56.0","","","40-43","","K. Thompson misses 3-pt jump shot from 23 ft (block by A. Gordon)"
"215","3:53.0","Defensive rebound by J. Green","","40-43","",""
"216","3:44.0","J. Green misses 2-pt layup from 5 ft","","40-43","",""
"217","3:42.0","Offensive rebound by N. Jokic","","40-43","",""
"218","3:40.0","N. Jokic makes 2-pt layup at rim","+2","42-43","",""
"219","3:24.0","","","42-45","+2","J. Kuminga makes 2-pt layup from 3 ft (assist by D. Green)"
"220","3:04.0","Personal foul by K. Thompson (drawn by N. Jokic)","","42-45","",""
"221","3:04.0","N. Jokic misses free throw 1 of 2","","42-45","",""
"222","3:04.0","Offensive rebound by Team","","42-45","",""
"223","3:04.0","N. Jokic makes free throw 2 of 2","+1","43-45","",""
"224","2:54.0","","","43-45","","S. Curry misses 3-pt jump shot from 28 ft"
"225","2:52.0","Defensive rebound by Team","","43-45","",""
"226","2:34.0","Turnover by N. Jokic (bad pass; steal by K. Thompson)","","43-45","",""
"227","2:22.0","","","43-45","","A. Wiggins misses 2-pt jump shot from 7 ft"
"228","2:20.0","Defensive rebound by N. Jokic","","43-45","",""
"229","2:13.0","Turnover by M. Morris (bad pass; steal by S. Curry)","","43-45","",""
"230","1:56.0","","","43-45","","J. Kuminga misses 2-pt layup from 4 ft (block by N. Jokic)"
"231","1:54.0","Defensive rebound by N. Jokic","","43-45","",""
"232","1:50.0","W. Barton makes 3-pt jump shot from 27 ft (assist by N. Jokic)","+3","46-45","",""
"233","1:49.0","","","46-45","","Golden State full timeout"
"234","1:49.0","","","46-45","","J. Poole enters the game for A. Wiggins"
"235","1:31.0","","","46-45","","D. Green misses 3-pt jump shot from 23 ft"
"236","1:31.0","","","46-45","","Offensive rebound by Team"
