"","Time","Denver","","Score","","Golden State"
"237","1:31.0","Loose ball foul by M. Morris (drawn by J. Kuminga)","","46-45","",""
"238","1:20.0","","","46-45","","J. Kuminga misses 2-pt jump shot from 6 ft"
"239","1:18.0","Defensive rebound by J. Green","","46-45","",""
"240","1:16.0","A. Gordon misses 2-pt layup from 5 ft (block by D. Green)","","46-45","",""
"241","1:15.0","Offensive rebound by Team","","46-45","",""
"242","1:04.0","N. Jokic makes 2-pt jump shot from 16 ft","+2","48-45","",""
"243","0:49.0","","","48-48","+3","K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry)"
"244","0:30.0","Turnover by N. Jokic (lost ball; steal by J. Poole)","","48-48","",""
"245","0:23.0","","","48-48","","Turnover by J. Poole (out of bounds lost ball)"
"246","0:23.0","","","48-48","","G. Payton enters the game for S. Curry"
"247","0:23.0","","","48-48","","A. Wiggins enters the game for J. Poole"
"248","0:06.0","A. Gordon misses 3-pt jump shot from 25 ft (block by D. Green)","","48-48","",""
"249","0:03.0","Offensive rebound by J. Green","","48-48","",""
"250","0:02.0","J. Green misses 2-pt layup from 5 ft","","48-48","",""
"251","0:01.0","","","48-48","","Defensive rebound by A. Wiggins"
"252","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"253","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"254","Time","Denver","","Score","","Golden State"
"255","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"256","11:47.0","J. Green makes 2-pt dunk from 4 ft (assist by N. Jokic)","+2","50-48","",""
"257","11:28.0","","","50-48","","J. Poole misses 3-pt jump shot from 26 ft"
"258","11:25.0","Defensive rebound by J. Green","","50-48","",""
"259","11:20.0","W. Barton misses 3-pt jump shot from 28 ft","","50-48","",""
"260","11:17.0","","","50-48","","Defensive rebound by J. Poole"
"261","11:12.0","","","50-50","+2","A. Wiggins makes 2-pt jump shot from 19 ft"
"262","10:45.0","W. Barton makes 2-pt layup from 3 ft (assist by A. Gordon)","+2","52-50","",""
"263","10:35.0","","","52-50","","S. Curry misses 2-pt jump shot from 15 ft"
"264","10:33.0","Defensive rebound by N. Jokic","","52-50","",""
"265","10:19.0","Personal foul by J. Poole (drawn by N. Jokic)","","52-50","",""
"266","10:13.0","M. Morris makes 2-pt layup from 7 ft","+2","54-50","",""
"267","10:13.0","Shooting foul by S. Curry (drawn by M. Morris)","","54-50","",""
"268","10:13.0","M. Morris makes free throw 1 of 1","+1","55-50","",""
"269","10:03.0","","","55-50","","Shooting foul by N. Jokic (drawn by D. Green)"
"270","10:03.0","","","55-51","+1","D. Green makes free throw 1 of 2"
"271","10:03.0","","","55-52","+1","D. Green makes free throw 2 of 2"
"272","9:39.0","N. Jokic makes 2-pt jump shot from 8 ft (assist by W. Barton)","+2","57-52","",""
"273","9:24.0","","","57-54","+2","A. Wiggins makes 2-pt layup from 5 ft (assist by D. Green)"
"274","9:16.0","Turnover by N. Jokic (bad pass; steal by K. Thompson)","","57-54","",""
"275","9:13.0","","","57-54","","A. Wiggins misses 2-pt dunk from 4 ft (block by J. Green)"
"276","9:12.0","","","57-54","","Offensive rebound by Team"
"277","9:10.0","","","57-54","","K. Thompson misses 3-pt jump shot from 26 ft"
"278","9:08.0","Defensive rebound by N. Jokic","","57-54","",""
"279","8:52.0","J. Green misses 3-pt jump shot from 23 ft","","57-54","",""
"280","8:50.0","Offensive rebound by N. Jokic","","57-54","",""
"281","8:49.0","M. Morris makes 3-pt jump shot from 27 ft (assist by N. Jokic)","+3","60-54","",""
"282","8:47.0","","","60-54","","Golden State full timeout"
"283","8:47.0","","","60-54","","K. Looney enters the game for J. Poole"
"284","8:32.0","","","60-54","","Shooting foul by N. Jokic (drawn by K. Looney)"
"285","8:32.0","","","60-54","","K. Looney misses free throw 1 of 2"
"286","8:32.0","","","60-54","","Offensive rebound by Team"
"287","8:32.0","","","60-54","","K. Looney misses free throw 2 of 2"
"288","8:30.0","Defensive rebound by N. Jokic","","60-54","",""
"289","8:16.0","N. Jokic makes 2-pt hook shot from 9 ft (assist by M. Morris)","+2","62-54","",""
"290","7:59.0","","","62-54","","A. Wiggins misses 2-pt jump shot from 16 ft"
"291","7:56.0","Defensive rebound by N. Jokic","","62-54","",""
"292","7:54.0","Shooting foul by K. Looney (drawn by N. Jokic)","","62-54","",""
"293","7:54.0","N. Jokic makes free throw 1 of 2","+1","63-54","",""
"294","7:54.0","N. Jokic makes free throw 2 of 2","+1","64-54","",""
"295","7:43.0","","","64-56","+2","D. Green makes 2-pt dunk from 4 ft (assist by S. Curry)"
"296","7:25.0","W. Barton misses 3-pt jump shot from 23 ft","","64-56","",""
"297","7:22.0","","","64-56","","Defensive rebound by A. Wiggins"
"298","7:14.0","","","64-56","","D. Green misses 2-pt layup from 5 ft"
"299","7:11.0","Defensive rebound by N. Jokic","","64-56","",""
"300","7:05.0","W. Barton makes 2-pt layup from 5 ft (assist by M. Morris)","+2","66-56","",""
"301","6:52.0","","","66-56","","S. Curry misses 2-pt layup from 5 ft (block by N. Jokic)"
"302","6:51.0","","","66-56","","Offensive rebound by Team"
"303","6:49.0","","","66-56","","Shooting foul by N. Jokic (drawn by A. Wiggins)"
"304","6:49.0","","","66-56","","A. Wiggins misses free throw 1 of 2"
"305","6:49.0","","","66-56","","Offensive rebound by Team"
"306","6:49.0","","","66-57","+1","A. Wiggins makes free throw 2 of 2"
"307","6:31.0","M. Morris misses 3-pt jump shot from 26 ft","","66-57","",""
"308","6:28.0","","","66-57","","Defensive rebound by A. Wiggins"
"309","6:20.0","","","66-60","+3","D. Green makes 3-pt jump shot from 26 ft (assist by A. Wiggins)"
"310","5:54.0","A. Gordon misses 3-pt jump shot from 27 ft","","66-60","",""
"311","5:52.0","","","66-60","","Defensive rebound by K. Thompson"
"312","5:43.0","","","66-60","","Shooting foul by N. Jokic (drawn by A. Wiggins)"
"313","5:43.0","","","66-61","+1","A. Wiggins makes free throw 1 of 2"
"314","5:43.0","","","66-61","","A. Wiggins misses free throw 2 of 2"
"315","5:41.0","Defensive rebound by N. Jokic","","66-61","",""
"316","5:27.0","W. Barton misses 3-pt jump shot from 27 ft","","66-61","",""
"317","5:25.0","","","66-61","","Defensive rebound by S. Curry"
"318","5:15.0","","","66-61","","Turnover by S. Curry (bad pass; steal by J. Green)"
"319","5:09.0","W. Barton makes 2-pt jump shot from 10 ft (assist by N. Jokic)","+2","68-61","",""
"320","4:47.0","","","68-64","+3","S. Curry makes 3-pt jump shot from 27 ft (assist by K. Looney)"
"321","4:21.0","M. Morris misses 3-pt jump shot from 26 ft","","68-64","",""
"322","4:19.0","","","68-64","","Defensive rebound by K. Looney"
"323","4:06.0","","","68-67","+3","S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green)"
"324","4:05.0","Denver full timeout","","68-67","",""
"325","4:05.0","D. Cousins enters the game for N. Jokic","","68-67","",""
"326","4:05.0","B. Hyland enters the game for M. Morris","","68-67","",""
"327","4:05.0","","","68-67","","J. Poole enters the game for K. Thompson"
"328","3:44.0","Turnover by W. Barton (bad pass; steal by D. Green)","","68-67","",""
"329","3:37.0","","","68-67","","S. Curry misses 3-pt jump shot from 25 ft"
"330","3:35.0","Defensive rebound by A. Gordon","","68-67","",""
"331","3:28.0","A. Gordon misses 3-pt jump shot from 28 ft","","68-67","",""
"332","3:25.0","","","68-67","","Defensive rebound by A. Wiggins"
"333","3:20.0","","","68-67","","A. Wiggins misses 2-pt layup from 7 ft"
"334","3:17.0","Defensive rebound by J. Green","","68-67","",""
"335","3:11.0","Personal foul by J. Poole (drawn by D. Cousins)","","68-67","",""
"336","3:11.0","B. Forbes enters the game for J. Green","","68-67","",""
"337","3:11.0","","","68-67","","G. Payton enters the game for D. Green"
"338","3:11.0","","","68-67","","O. Porter enters the game for A. Wiggins"
"339","2:55.0","D. Cousins misses 2-pt hook shot from 7 ft","","68-67","",""
"340","2:52.0","Offensive rebound by A. Gordon","","68-67","",""
"341","2:51.0","B. Forbes misses 3-pt jump shot from 23 ft","","68-67","",""
"342","2:48.0","Offensive rebound by A. Gordon","","68-67","",""
"343","2:40.0","B. Forbes misses 2-pt jump shot from 10 ft (block by G. Payton)","","68-67","",""
"344","2:37.0","Offensive rebound by B. Forbes","","68-67","",""
"345","2:33.0","W. Barton makes 3-pt jump shot from 26 ft (assist by B. Forbes)","+3","71-67","",""
"346","2:20.0","","","71-70","+3","S. Curry makes 3-pt jump shot from 26 ft"
"347","1:56.0","D. Cousins makes 2-pt jump shot from 9 ft","+2","73-70","",""
"348","1:47.0","","","73-70","","J. Poole misses 2-pt layup from 6 ft (block by A. Gordon)"
"349","1:45.0","Defensive rebound by B. Hyland","","73-70","",""
"350","1:35.0","B. Hyland misses 2-pt layup from 7 ft","","73-70","",""
"351","1:32.0","","","73-70","","Defensive rebound by G. Payton"
"352","1:32.0","","","73-70","","K. Thompson enters the game for S. Curry"
"353","1:12.0","","","73-70","","Turnover by Team (shot clock)"
"354","0:55.0","D. Cousins misses 2-pt jump shot from 13 ft","","73-70","",""
"355","0:52.0","Offensive rebound by W. Barton","","73-70","",""
"356","0:50.0","W. Barton misses 2-pt jump shot from 8 ft","","73-70","",""
"357","0:49.0","Offensive rebound by D. Cousins","","73-70","",""
"358","0:49.0","D. Cousins makes 2-pt layup at rim","+2","75-70","",""
"359","0:26.0","","","75-70","","J. Poole misses 2-pt jump shot from 17 ft"
"360","0:24.0","Defensive rebound by B. Hyland","","75-70","",""
"361","0:01.0","D. Cousins makes 3-pt jump shot from 28 ft (assist by B. Hyland)","+3","78-70","",""
"362","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"363","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"364","Time","Denver","","Score","","Golden State"
"365","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"366","11:46.0","","","78-72","+2","K. Thompson makes 2-pt jump shot from 13 ft (assist by O. Porter)"
"367","11:26.0","D. Cousins misses 2-pt jump shot from 15 ft","","78-72","",""
"368","11:25.0","","","78-72","","Defensive rebound by Team"
"369","11:25.0","Loose ball foul by J. Green (drawn by G. Payton)","","78-72","",""
"370","11:14.0","","","78-72","","J. Poole misses 2-pt jump shot from 12 ft"
"371","11:12.0","","","78-72","","Offensive rebound by O. Porter"
"372","11:09.0","","","78-75","+3","O. Porter makes 3-pt jump shot from 25 ft (assist by G. Payton)"
"373","10:41.0","Offensive foul by D. Cousins (drawn by O. Porter)","","78-75","",""
"374","10:41.0","Turnover by D. Cousins (offensive foul)","","78-75","",""
"375","10:41.0","M. Morris enters the game for B. Hyland","","78-75","",""
"376","10:29.0","","","78-75","","K. Thompson misses 2-pt jump shot from 17 ft"
"377","10:26.0","Defensive rebound by W. Barton","","78-75","",""
"378","10:22.0","Shooting foul by J. Poole (drawn by W. Barton)","","78-75","",""
"379","10:22.0","W. Barton makes free throw 1 of 2","+1","79-75","",""
"380","10:22.0","W. Barton misses free throw 2 of 2","","79-75","",""
"381","10:20.0","","","79-75","","Defensive rebound by K. Thompson"
"382","10:10.0","","","79-75","","Personal foul by W. Barton (drawn by J. Poole)"
"383","9:59.0","","","79-77","+2","D. Green makes 2-pt dunk from 3 ft (assist by G. Payton)"
"384","9:37.0","D. Cousins makes 2-pt jump shot from 16 ft (assist by B. Forbes)","+2","81-77","",""
"385","9:23.0","","","81-79","+2","G. Payton makes 2-pt layup from 4 ft (assist by J. Poole)"
"386","9:03.0","D. Cousins makes 2-pt jump shot from 10 ft (assist by B. Forbes)","+2","83-79","",""
"387","8:48.0","","","83-79","","Turnover by D. Green (bad pass)"
"388","8:48.0","A. Gordon enters the game for W. Barton","","83-79","",""
"389","8:48.0","B. Hyland enters the game for D. Cousins","","83-79","",""
"390","8:48.0","N. Jokic enters the game for J. Green","","83-79","",""
"391","8:48.0","","","83-79","","S. Curry enters the game for K. Thompson"
"392","8:29.0","A. Gordon misses 2-pt jump shot from 12 ft","","83-79","",""
"393","8:25.0","","","83-79","","Defensive rebound by O. Porter"
"394","8:19.0","","","83-79","","Shooting foul by N. Jokic (drawn by S. Curry)"
"395","8:19.0","","","83-80","+1","S. Curry makes free throw 1 of 2"
"396","8:19.0","D. Cousins enters the game for N. Jokic","","83-80","",""
"397","8:19.0","","","83-80","","K. Looney enters the game for D. Green"
"398","8:19.0","","","83-81","+1","S. Curry makes free throw 2 of 2"
"399","8:06.0","Shooting foul by J. Poole (drawn by M. Morris)","","83-81","",""
"400","8:06.0","M. Morris makes free throw 1 of 2","+1","84-81","",""
"401","8:06.0","J. Green enters the game for B. Forbes","","84-81","",""
"402","8:06.0","","","84-81","","K. Thompson enters the game for J. Poole"
"403","8:06.0","M. Morris misses free throw 2 of 2","","84-81","",""
"404","8:06.0","","","84-81","","Defensive rebound by O. Porter"
"405","7:45.0","","","84-83","+2","K. Thompson makes 2-pt jump shot from 10 ft (assist by S. Curry)"
"406","7:43.0","Denver full timeout","","84-83","",""
"407","7:21.0","B. Hyland misses 3-pt jump shot from 24 ft","","84-83","",""
"408","7:19.0","","","84-83","","Defensive rebound by K. Looney"
"409","6:57.0","","","84-86","+3","G. Payton makes 3-pt jump shot from 23 ft (assist by O. Porter)"
"410","6:32.0","Turnover by A. Gordon (bad pass; steal by G. Payton)","","84-86","",""
"411","6:28.0","","","84-86","","K. Thompson misses 3-pt jump shot from 23 ft"
"412","6:22.0","Defensive rebound by Team","","84-86","",""
"413","6:22.0","W. Barton enters the game for D. Cousins","","84-86","",""
"414","6:22.0","N. Jokic enters the game for B. Hyland","","84-86","",""
"415","6:22.0","","","84-86","","D. Green enters the game for K. Looney"
"416","5:57.0","M. Morris misses 2-pt jump shot from 15 ft","","84-86","",""
"417","5:55.0","","","84-86","","Defensive rebound by K. Thompson"
"418","5:46.0","","","84-86","","S. Curry misses 3-pt jump shot from 26 ft"
"419","5:43.0","Defensive rebound by J. Green","","84-86","",""
"420","5:28.0","N. Jokic misses 3-pt jump shot from 27 ft","","84-86","",""
"421","5:25.0","","","84-86","","Defensive rebound by K. Thompson"
"422","5:15.0","","","84-86","","K. Thompson misses 2-pt layup from 5 ft"
"423","5:13.0","","","84-86","","Offensive rebound by K. Thompson"
"424","5:09.0","","","84-86","","S. Curry misses 2-pt jump shot from 12 ft"
"425","5:07.0","Defensive rebound by M. Morris","","84-86","",""
"426","4:53.0","W. Barton misses 2-pt jump shot from 17 ft","","84-86","",""
"427","4:50.0","","","84-86","","Defensive rebound by D. Green"
"428","4:46.0","","","84-86","","Golden State full timeout"
"429","4:40.0","","","84-86","","Offensive foul by S. Curry (drawn by N. Jokic)"
"430","4:40.0","","","84-86","","Turnover by S. Curry (offensive foul)"
"431","4:24.0","Turnover by W. Barton (bad pass; steal by S. Curry)","","84-86","",""
"432","4:05.0","","","84-88","+2","K. Thompson makes 2-pt layup from 5 ft"
"433","3:46.0","Shooting foul by D. Green (drawn by N. Jokic)","","84-88","",""
"434","3:46.0","N. Jokic makes free throw 1 of 2","+1","85-88","",""
"435","3:46.0","N. Jokic makes free throw 2 of 2","+1","86-88","",""
"436","3:31.0","","","86-90","+2","S. Curry makes 2-pt jump shot from 19 ft (assist by G. Payton)"
"437","3:04.0","N. Jokic makes 2-pt jump shot from 13 ft (assist by M. Morris)","+2","88-90","",""
"438","2:41.0","","","88-90","","O. Porter misses 3-pt jump shot from 24 ft"
"439","2:38.0","Defensive rebound by J. Green","","88-90","",""
"440","2:26.0","N. Jokic makes 2-pt jump shot from 19 ft","+2","90-90","",""
"441","2:10.0","","","90-92","+2","G. Payton makes 2-pt layup from 5 ft (assist by S. Curry)"
"442","1:42.0","Turnover by Team (shot clock)","","90-92","",""
"443","1:33.0","","","90-94","+2","S. Curry makes 2-pt layup from 4 ft"
"444","1:33.0","Denver full timeout","","90-94","",""
"445","1:33.0","","","90-94","","A. Wiggins enters the game for O. Porter"
"446","1:28.0","N. Jokic makes 2-pt jump shot from 9 ft (assist by M. Morris)","+2","92-94","",""
"447","1:06.0","","","92-97","+3","G. Payton makes 3-pt jump shot from 27 ft (assist by A. Wiggins)"
"448","0:53.0","N. Jokic makes 2-pt hook shot from 9 ft (assist by M. Morris)","+2","94-97","",""
"449","0:29.0","","","94-99","+2","S. Curry makes 2-pt layup from 5 ft"
"450","0:29.0","Denver full timeout","","94-99","",""
"451","0:25.0","N. Jokic misses 3-pt jump shot from 28 ft","","94-99","",""
"452","0:22.0","","","94-99","","Defensive rebound by D. Green"
"453","0:21.0","","","94-99","","Personal take foul by M. Morris (drawn by S. Curry)"
"454","0:21.0","F. Campazzo enters the game for N. Jokic","","94-99","",""
"455","0:21.0","","","94-99","","J. Poole enters the game for G. Payton"
"456","0:19.0","","","94-99","","Personal take foul by J. Green (drawn by S. Curry)"
"457","0:19.0","","","94-100","+1","S. Curry makes free throw 1 of 2"
"458","0:19.0","B. Forbes enters the game for F. Campazzo","","94-100","",""
"459","0:19.0","N. Jokic enters the game for J. Green","","94-100","",""
"460","0:19.0","","","94-100","","G. Payton enters the game for J. Poole"
"461","0:19.0","","","94-101","+1","S. Curry makes free throw 2 of 2"
"462","0:13.0","Personal take foul by G. Payton (drawn by M. Morris)","","94-101","",""
"463","0:08.0","N. Jokic makes 2-pt layup from 5 ft (assist by M. Morris)","+2","96-101","",""
"464","0:06.0","","","96-101","","Personal take foul by M. Morris (drawn by S. Curry)"
"465","0:06.0","","","96-101","","S. Curry misses free throw 1 of 2"
"466","0:06.0","","","96-101","","Offensive rebound by Team"
"467","0:06.0","","","96-102","+1","S. Curry makes free throw 2 of 2"
"468","0:01.0","M. Morris makes 2-pt layup from 5 ft","+2","98-102","",""
"469","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
