"","Time","Dallas","","Score","","Utah"
"246","0:29.0","J. Brunson misses 3-pt jump shot from 25 ft","","40-51","",""
"247","0:26.0","","","40-51","","Defensive rebound by D. Mitchell"
"248","0:08.0","","","40-54","+3","B. Bogdanovic makes 3-pt jump shot from 26 ft (assist by D. Mitchell)"
"249","0:00.0","L. Doncic makes 2-pt jump shot from 10 ft","+2","42-54","",""
"250","0:00.0","Instant Replay (Request: Ruling Stands)","","42-54","",""
"251","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"252","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"253","Time","Dallas","","Score","","Utah"
"254","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"255","11:43.0","D. Powell makes 2-pt dunk from 3 ft (assist by L. Doncic)","+2","44-54","",""
"256","11:25.0","","","44-56","+2","M. Conley makes 2-pt jump shot from 16 ft (assist by D. Mitchell)"
"257","11:10.0","Turnover by D. Powell (bad pass)","","44-56","",""
"258","10:48.0","","","44-56","","D. Mitchell misses 3-pt jump shot from 25 ft"
"259","10:45.0","Defensive rebound by R. Bullock","","44-56","",""
"260","10:33.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","47-56","",""
"261","10:23.0","","","47-56","","R. O'Neale misses 3-pt jump shot from 26 ft"
"262","10:20.0","Defensive rebound by D. Powell","","47-56","",""
"263","10:07.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","50-56","",""
"264","9:56.0","","","50-59","+3","M. Conley makes 3-pt jump shot from 26 ft"
"265","9:40.0","Shooting foul by B. Bogdanovic (drawn by L. Doncic)","","50-59","",""
"266","9:40.0","L. Doncic makes free throw 1 of 2","+1","51-59","",""
"267","9:40.0","L. Doncic makes free throw 2 of 2","+1","52-59","",""
"268","9:22.0","","","52-59","","R. Gobert misses 2-pt layup from 2 ft"
"269","9:20.0","Defensive rebound by L. Doncic","","52-59","",""
"270","9:16.0","R. Bullock makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith)","+3","55-59","",""
"271","8:53.0","","","55-59","","Turnover by B. Bogdanovic (lost ball; steal by D. Finney-Smith)"
"272","8:50.0","D. Finney-Smith makes 2-pt layup from 3 ft","+2","57-59","",""
"273","8:50.0","","","57-59","","Utah full timeout"
"274","8:35.0","","","57-59","","D. Mitchell misses 3-pt jump shot from 28 ft"
"275","8:34.0","","","57-59","","Offensive rebound by R. Gobert"
"276","8:34.0","","","57-59","","R. Gobert misses 2-pt layup from 2 ft"
"277","8:34.0","Defensive rebound by D. Powell","","57-59","",""
"278","8:17.0","L. Doncic misses 3-pt jump shot from 28 ft","","57-59","",""
"279","8:14.0","","","57-59","","Defensive rebound by R. Gobert"
"280","7:54.0","","","57-59","","B. Bogdanovic misses 3-pt jump shot from 23 ft"
"281","7:53.0","","","57-59","","Offensive rebound by R. Gobert"
"282","7:53.0","","","57-59","","Shooting foul by D. Finney-Smith (drawn by R. Gobert)"
"283","7:53.0","","","57-60","+1","R. Gobert makes free throw 1 of 2"
"284","7:53.0","","","57-60","","R. Gobert misses free throw 2 of 2"
"285","7:52.0","Defensive rebound by L. Doncic","","57-60","",""
"286","7:35.0","L. Doncic makes 2-pt hook shot from 7 ft","+2","59-60","",""
"287","7:20.0","","","59-60","","R. O'Neale misses 3-pt jump shot from 24 ft"
"288","7:17.0","Defensive rebound by D. Powell","","59-60","",""
"289","7:09.0","Personal foul by R. O'Neale (drawn by L. Doncic)","","59-60","",""
"290","7:09.0","","","59-60","","J. Clarkson enters the game for M. Conley"
"291","6:59.0","J. Brunson misses 2-pt jump shot from 11 ft","","59-60","",""
"292","6:57.0","","","59-60","","Defensive rebound by R. Gobert"
"293","6:49.0","","","59-63","+3","R. O'Neale makes 3-pt jump shot from 26 ft (assist by D. Mitchell)"
"294","6:27.0","Turnover by L. Doncic (bad pass; steal by D. Mitchell)","","59-63","",""
"295","6:21.0","","","59-65","+2","R. O'Neale makes 2-pt layup from 2 ft (assist by D. Mitchell)"
"296","6:04.0","Turnover by D. Powell (3 sec)","","59-65","",""
"297","6:04.0","","","59-65","","H. Whiteside enters the game for R. Gobert"
"298","5:54.0","","","59-65","","R. O'Neale misses 3-pt jump shot from 26 ft"
"299","5:51.0","Defensive rebound by J. Brunson","","59-65","",""
"300","5:40.0","Turnover by L. Doncic (bad pass; steal by H. Whiteside)","","59-65","",""
"301","5:33.0","","","59-67","+2","J. Clarkson makes 2-pt jump shot from 10 ft"
"302","5:13.0","J. Brunson makes 2-pt jump shot from 9 ft","+2","61-67","",""
"303","5:13.0","Shooting foul by H. Whiteside (drawn by J. Brunson)","","61-67","",""
"304","5:13.0","S. Dinwiddie enters the game for L. Doncic","","61-67","",""
"305","5:13.0","M. Kleber enters the game for D. Powell","","61-67","",""
"306","5:13.0","J. Brunson makes free throw 1 of 1","+1","62-67","",""
"307","5:03.0","","","62-69","+2","B. Bogdanovic makes 2-pt jump shot from 18 ft (assist by D. Mitchell)"
"308","4:40.0","D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","65-69","",""
"309","4:27.0","","","65-69","","D. Mitchell misses 3-pt jump shot from 24 ft"
"310","4:25.0","Defensive rebound by D. Finney-Smith","","65-69","",""
"311","4:13.0","J. Brunson makes 3-pt jump shot from 26 ft","+3","68-69","",""
"312","3:54.0","","","68-71","+2","J. Clarkson makes 2-pt jump shot from 14 ft"
"313","3:31.0","S. Dinwiddie misses 2-pt jump shot from 10 ft","","68-71","",""
"314","3:29.0","Offensive rebound by S. Dinwiddie","","68-71","",""
"315","3:27.0","R. Bullock misses 3-pt jump shot from 25 ft","","68-71","",""
"316","3:26.0","Offensive rebound by Team","","68-71","",""
"317","3:26.0","","","68-71","","D. House enters the game for R. O'Neale"
"318","3:15.0","J. Brunson makes 3-pt jump shot from 23 ft (assist by R. Bullock)","+3","71-71","",""
"319","3:00.0","","","71-71","","D. Mitchell misses 2-pt dunk from 2 ft"
"320","2:58.0","Defensive rebound by R. Bullock","","71-71","",""
"321","2:54.0","D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","74-71","",""
"322","2:53.0","","","74-71","","Utah full timeout"
"323","2:53.0","","","74-71","","M. Conley enters the game for B. Bogdanovic"
"324","2:53.0","","","74-71","","R. Gobert enters the game for D. Mitchell"
"325","2:53.0","","","74-71","","J. Hernangómez enters the game for H. Whiteside"
"326","2:38.0","","","74-71","","J. Hernangómez misses 3-pt jump shot from 25 ft"
"327","2:36.0","","","74-71","","Offensive rebound by Team"
"328","2:36.0","Loose ball foul by R. Bullock (drawn by R. Gobert)","","74-71","",""
"329","2:27.0","","","74-74","+3","J. Hernangómez makes 3-pt jump shot from 24 ft (assist by M. Conley)"
"330","2:05.0","J. Brunson makes 2-pt jump shot from 13 ft","+2","76-74","",""
"331","1:48.0","","","76-74","","J. Clarkson misses 2-pt layup from 2 ft"
"332","1:43.0","","","76-74","","Offensive rebound by R. Gobert"
"333","1:43.0","","","76-76","+2","R. Gobert makes 2-pt dunk at rim"
"334","1:17.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by J. Brunson)","+3","79-76","",""
"335","1:07.0","","","79-76","","M. Conley misses 3-pt jump shot from 25 ft"
"336","1:06.0","","","79-76","","Offensive rebound by R. Gobert"
"337","1:06.0","","","79-76","","Shooting foul by S. Dinwiddie (drawn by R. Gobert)"
"338","1:06.0","","","79-77","+1","R. Gobert makes free throw 1 of 2"
"339","1:06.0","J. Green enters the game for J. Brunson","","79-77","",""
"340","1:06.0","","","79-78","+1","R. Gobert makes free throw 2 of 2"
"341","0:43.0","Offensive foul by S. Dinwiddie (drawn by J. Hernangómez)","","79-78","",""
"342","0:43.0","Turnover by S. Dinwiddie (offensive foul)","","79-78","",""
"343","0:35.0","","","79-78","","Shooting foul by S. Dinwiddie (drawn by R. Gobert)"
"344","0:35.0","","","79-78","","R. Gobert misses free throw 1 of 2"
"345","0:35.0","","","79-78","","Offensive rebound by Team"
"346","0:35.0","D. Bertans enters the game for D. Finney-Smith","","79-78","",""
"347","0:35.0","","","79-78","","R. Gobert misses free throw 2 of 2"
"348","0:33.0","Defensive rebound by D. Bertans","","79-78","",""
"349","0:14.0","S. Dinwiddie makes 2-pt jump shot from 19 ft","+2","81-78","",""
"350","0:01.0","","","81-78","","D. House misses 3-pt jump shot from 23 ft"
"351","0:01.0","","","81-78","","Offensive rebound by R. Gobert"
"352","0:00.0","","","81-78","","R. Gobert misses 2-pt layup at rim"
"353","0:00.0","","","81-78","","Offensive rebound by Team"
"354","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"355","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"356","Time","Dallas","","Score","","Utah"
"357","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"358","11:36.0","","","81-78","","Turnover by J. Clarkson (3 sec)"
"359","11:27.0","Turnover by S. Dinwiddie (bad pass)","","81-78","",""
"360","11:19.0","","","81-78","","Offensive foul by D. House (drawn by J. Green)"
"361","11:19.0","","","81-78","","Turnover by D. House (offensive foul)"
"362","11:19.0","","","81-78","","B. Bogdanovic enters the game for J. Hernangómez"
"363","11:06.0","Personal foul by B. Bogdanovic (drawn by S. Dinwiddie)","","81-78","",""
"364","10:55.0","L. Doncic misses 3-pt jump shot from 27 ft","","81-78","",""
"365","10:52.0","","","81-78","","Defensive rebound by D. House"
"366","10:46.0","","","81-78","","D. House misses 3-pt jump shot from 23 ft"
"367","10:42.0","Defensive rebound by M. Kleber","","81-78","",""
"368","10:20.0","Turnover by L. Doncic (traveling)","","81-78","",""
"369","10:20.0","D. Finney-Smith enters the game for J. Green","","81-78","",""
"370","10:20.0","","","81-78","","D. Mitchell enters the game for D. House"
"371","10:01.0","","","81-78","","B. Bogdanovic misses 3-pt jump shot from 26 ft"
"372","9:55.0","Defensive rebound by M. Kleber","","81-78","",""
"373","9:40.0","R. Bullock misses 3-pt jump shot from 25 ft","","81-78","",""
"374","9:37.0","Offensive rebound by D. Finney-Smith","","81-78","",""
"375","9:32.0","M. Kleber misses 3-pt jump shot from 24 ft","","81-78","",""
"376","9:29.0","","","81-78","","Defensive rebound by D. Mitchell"
"377","9:20.0","","","81-78","","J. Clarkson misses 2-pt jump shot from 9 ft"
"378","9:18.0","Defensive rebound by M. Kleber","","81-78","",""
"379","9:01.0","D. Finney-Smith misses 3-pt jump shot from 26 ft","","81-78","",""
"380","9:00.0","","","81-78","","Defensive rebound by Team"
"381","9:00.0","Loose ball foul by L. Doncic (drawn by R. Gobert)","","81-78","",""
"382","9:00.0","","","81-78","","R. O'Neale enters the game for M. Conley"
"383","8:47.0","","","81-80","+2","R. Gobert makes 2-pt dunk from 3 ft (assist by R. O'Neale)"
"384","8:47.0","J. Brunson enters the game for S. Dinwiddie","","81-80","",""
"385","8:19.0","R. Bullock makes 2-pt dunk from 2 ft (assist by D. Finney-Smith)","+2","83-80","",""
"386","8:01.0","","","83-80","","D. Mitchell misses 3-pt jump shot from 25 ft"
"387","7:58.0","Defensive rebound by M. Kleber","","83-80","",""
"388","7:45.0","M. Kleber misses 3-pt jump shot from 26 ft","","83-80","",""
"389","7:43.0","","","83-80","","Defensive rebound by D. Mitchell"
"390","7:40.0","","","83-80","","Utah full timeout"
"391","7:24.0","","","83-80","","Shooting foul by M. Kleber (drawn by D. Mitchell)"
"392","7:24.0","","","83-81","+1","D. Mitchell makes free throw 1 of 2"
"393","7:24.0","","","83-81","","D. Mitchell misses free throw 2 of 2"
"394","7:22.0","Defensive rebound by L. Doncic","","83-81","",""
"395","7:05.0","L. Doncic misses 3-pt jump shot from 26 ft","","83-81","",""
"396","7:02.0","","","83-81","","Defensive rebound by B. Bogdanovic"
"397","6:55.0","","","83-81","","D. Mitchell misses 2-pt jump shot from 9 ft"
"398","6:50.0","","","83-81","","Offensive rebound by R. Gobert"
"399","6:50.0","","","83-81","","R. Gobert misses 2-pt layup at rim"
"400","6:49.0","Defensive rebound by M. Kleber","","83-81","",""
"401","6:43.0","Personal foul by D. Mitchell (drawn by J. Brunson)","","83-81","",""
"402","6:43.0","S. Dinwiddie enters the game for L. Doncic","","83-81","",""
"403","6:31.0","S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith)","+3","86-81","",""
"404","6:16.0","","","86-84","+3","J. Clarkson makes 3-pt jump shot from 26 ft (assist by B. Bogdanovic)"
"405","5:51.0","J. Brunson misses 2-pt jump shot from 9 ft","","86-84","",""
"406","5:50.0","","","86-84","","Defensive rebound by R. O'Neale"
"407","5:35.0","","","86-84","","Shooting foul by J. Brunson (drawn by J. Clarkson)"
"408","5:35.0","","","86-85","+1","J. Clarkson makes free throw 1 of 3"
"409","5:35.0","","","86-86","+1","J. Clarkson makes free throw 2 of 3"
"410","5:35.0","D. Powell enters the game for M. Kleber","","86-86","",""
"411","5:35.0","","","86-87","+1","J. Clarkson makes free throw 3 of 3"
"412","5:35.0","Dallas full timeout","","86-87","",""
"413","5:35.0","L. Doncic enters the game for J. Brunson","","86-87","",""
"414","5:35.0","M. Kleber enters the game for D. Powell","","86-87","",""
"415","5:13.0","Shooting foul by R. Gobert (drawn by L. Doncic)","","86-87","",""
"416","5:13.0","","","86-87","","Utah full timeout"
"417","5:13.0","","","86-87","","Instant Replay (Challenge: Ruling Stands)"
"418","5:13.0","L. Doncic makes free throw 1 of 2","+1","87-87","",""
"419","5:13.0","L. Doncic makes free throw 2 of 2","+1","88-87","",""
"420","4:59.0","","","88-90","+3","J. Clarkson makes 3-pt jump shot from 23 ft (assist by B. Bogdanovic)"
"421","4:32.0","L. Doncic makes 2-pt jump shot from 15 ft","+2","90-90","",""
"422","4:19.0","","","90-90","","Shooting foul by M. Kleber (drawn by R. Gobert)"
"423","4:19.0","D. Powell enters the game for M. Kleber","","90-90","",""
"424","4:19.0","","","90-90","","R. Gobert misses free throw 1 of 2"
"425","4:19.0","","","90-90","","Offensive rebound by Team"
"426","4:19.0","J. Brunson enters the game for S. Dinwiddie","","90-90","",""
"427","4:19.0","","","90-90","","R. Gobert misses free throw 2 of 2"
"428","4:18.0","Defensive rebound by L. Doncic","","90-90","",""
"429","3:56.0","L. Doncic misses 2-pt jump shot from 9 ft","","90-90","",""
"430","3:53.0","","","90-90","","Defensive rebound by J. Clarkson"
"431","3:43.0","","","90-90","","J. Clarkson misses 3-pt jump shot from 25 ft"
"432","3:42.0","","","90-90","","Offensive rebound by Team"
"433","3:42.0","Loose ball foul by D. Powell (drawn by R. Gobert)","","90-90","",""
"434","3:42.0","","","90-91","+1","R. Gobert makes free throw 1 of 2"
"435","3:42.0","","","90-91","","R. Gobert misses free throw 2 of 2"
"436","3:40.0","Defensive rebound by L. Doncic","","90-91","",""
"437","3:34.0","Personal foul by B. Bogdanovic (drawn by D. Powell)","","90-91","",""
"438","3:23.0","D. Powell makes 2-pt layup from 3 ft (assist by L. Doncic)","+2","92-91","",""
"439","3:12.0","","","92-91","","Personal foul by D. Powell (drawn by R. Gobert)"
"440","3:12.0","Dallas full timeout","","92-91","",""
"441","3:12.0","","","92-92","+1","R. Gobert makes free throw 1 of 2"
"442","3:12.0","","","92-92","","R. Gobert misses free throw 2 of 2"
"443","3:11.0","Defensive rebound by L. Doncic","","92-92","",""
"444","2:51.0","J. Brunson misses 2-pt jump shot from 8 ft","","92-92","",""
"445","2:51.0","","","92-92","","Defensive rebound by Team"
"446","2:39.0","","","92-92","","D. Mitchell misses 2-pt jump shot from 4 ft (block by R. Bullock)"
"447","2:37.0","","","92-92","","Offensive rebound by R. Gobert"
"448","2:36.0","","","92-92","","Shooting foul by D. Powell (drawn by R. Gobert)"
"449","2:36.0","","","92-92","","R. Gobert misses free throw 1 of 2"
"450","2:36.0","","","92-92","","Offensive rebound by Team"
"451","2:36.0","","","92-93","+1","R. Gobert makes free throw 2 of 2"
"452","2:24.0","L. Doncic misses 3-pt jump shot from 26 ft","","92-93","",""
"453","2:21.0","","","92-93","","Defensive rebound by R. Gobert"
"454","2:14.0","","","92-93","","R. O'Neale misses 3-pt jump shot from 26 ft"
"455","2:10.0","","","92-93","","Offensive rebound by R. Gobert"
"456","2:08.0","","","92-93","","Instant Replay"
"457","2:03.0","Jump ball: L. Doncic vs. R. Gobert (R. Bullock gains possession)","Jump ball: L. Doncic vs. R. Gobert (R. Bullock gains possession)","Jump ball: L. Doncic vs. R. Gobert (R. Bullock gains possession)","Jump ball: L. Doncic vs. R. Gobert (R. Bullock gains possession)","Jump ball: L. Doncic vs. R. Gobert (R. Bullock gains possession)"
"458","2:03.0","","","92-93","","Turnover by R. Gobert (lost ball; steal by L. Doncic)"
"459","1:43.0","J. Brunson misses 2-pt layup from 5 ft","","92-93","",""
"460","1:43.0","Offensive rebound by Team","","92-93","",""
"461","1:43.0","","","92-93","","Loose ball foul by D. Mitchell (drawn by D. Powell)"
"462","1:43.0","D. Powell makes free throw 1 of 2","+1","93-93","",""
"463","1:43.0","D. Powell makes free throw 2 of 2","+1","94-93","",""
"464","1:27.0","","","94-95","+2","D. Mitchell makes 2-pt layup from 2 ft"
"465","1:13.0","L. Doncic makes 2-pt jump shot from 8 ft","+2","96-95","",""
"466","0:58.0","","","96-95","","D. Mitchell misses 2-pt jump shot from 8 ft"
"467","0:57.0","Defensive rebound by D. Powell","","96-95","",""
"468","0:57.0","Dallas full timeout","","96-95","",""
"469","0:57.0","","","96-95","","D. House enters the game for R. O'Neale"
"470","0:39.0","L. Doncic makes 3-pt jump shot from 26 ft","+3","99-95","",""
"471","0:39.0","","","99-95","","Utah full timeout"
"472","0:39.0","","","99-95","","M. Conley enters the game for D. House"
"473","0:31.0","","","99-95","","D. Mitchell misses 2-pt layup from 5 ft"
"474","0:31.0","","","99-95","","Offensive rebound by D. Mitchell"
"475","0:31.0","","","99-97","+2","D. Mitchell makes 2-pt layup at rim"
"476","0:31.0","","","99-97","","Shooting foul by L. Doncic (drawn by D. Mitchell)"
"477","0:31.0","","","99-97","","D. House enters the game for M. Conley"
"478","0:31.0","","","99-98","+1","D. Mitchell makes free throw 1 of 1"
"479","0:19.0","Personal foul by D. Mitchell (drawn by D. Powell)","","99-98","",""
"480","0:19.0","D. Powell misses free throw 1 of 2","","99-98","",""
"481","0:19.0","Offensive rebound by Team","","99-98","",""
"482","0:19.0","","","99-98","","M. Conley enters the game for D. House"
"483","0:19.0","D. Powell misses free throw 2 of 2","","99-98","",""
"484","0:18.0","","","99-98","","Defensive rebound by R. Gobert"
"485","0:11.0","","","99-100","+2","R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell)"
"486","0:11.0","Dallas full timeout","","99-100","",""
"487","0:11.0","S. Dinwiddie enters the game for D. Powell","","99-100","",""
"488","0:11.0","","","99-100","","D. House enters the game for M. Conley"
"489","0:00.0","S. Dinwiddie misses 3-pt jump shot from 25 ft","","99-100","",""
"490","0:00.0","Offensive rebound by Team","","99-100","",""
"491","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
