"","Time","Phoenix","","Score","","New Orleans"
"236","0:50.0","B. Biyombo enters the game for D. Ayton","","56-48","",""
"237","0:50.0","M. Bridges makes free throw 2 of 2","+1","57-48","",""
"238","0:30.0","","","57-48","","Turnover by L. Nance (traveling)"
"239","0:30.0","D. Ayton enters the game for B. Biyombo","","57-48","",""
"240","0:10.0","D. Ayton makes 2-pt jump shot from 11 ft","+2","59-48","",""
"241","0:02.0","","","59-48","","C. McCollum misses 3-pt jump shot from 23 ft"
"242","0:02.0","","","59-48","","Offensive rebound by D. Graham"
"243","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"244","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"245","Time","Phoenix","","Score","","New Orleans"
"246","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"247","11:38.0","","","59-48","","B. Ingram misses 2-pt jump shot from 16 ft"
"248","11:35.0","","","59-48","","Offensive rebound by J. Valanciunas"
"249","11:32.0","","","59-48","","Turnover by J. Valanciunas (lost ball; steal by M. Bridges)"
"250","11:26.0","J. Crowder misses 3-pt jump shot from 27 ft","","59-48","",""
"251","11:22.0","","","59-48","","Defensive rebound by C. McCollum"
"252","11:20.0","","","59-51","+3","C. McCollum makes 3-pt jump shot from 26 ft"
"253","11:04.0","D. Ayton misses 2-pt jump shot from 12 ft","","59-51","",""
"254","11:01.0","","","59-51","","Defensive rebound by B. Ingram"
"255","10:48.0","","","59-53","+2","H. Jones makes 2-pt layup from 4 ft"
"256","10:29.0","D. Ayton makes 2-pt jump shot from 10 ft (assist by C. Paul)","+2","61-53","",""
"257","10:16.0","","","61-53","","Turnover by B. Ingram (bad pass; steal by D. Ayton)"
"258","10:08.0","M. Bridges makes 2-pt jump shot from 9 ft (assist by L. Shamet)","+2","63-53","",""
"259","9:58.0","","","63-53","","Shooting foul by M. Bridges (drawn by C. McCollum)"
"260","9:58.0","","","63-53","","C. McCollum misses free throw 1 of 2"
"261","9:58.0","","","63-53","","Offensive rebound by Team"
"262","9:58.0","","","63-53","","C. McCollum misses free throw 2 of 2"
"263","9:55.0","Defensive rebound by D. Ayton","","63-53","",""
"264","9:44.0","D. Ayton makes 2-pt jump shot from 11 ft (assist by C. Paul)","+2","65-53","",""
"265","9:44.0","Shooting foul by J. Valanciunas (drawn by D. Ayton)","","65-53","",""
"266","9:44.0","D. Ayton makes free throw 1 of 1","+1","66-53","",""
"267","9:26.0","","","66-53","","H. Jones misses 2-pt layup from 5 ft"
"268","9:23.0","Defensive rebound by D. Ayton","","66-53","",""
"269","9:16.0","M. Bridges misses 2-pt jump shot from 14 ft","","66-53","",""
"270","9:14.0","","","66-53","","Defensive rebound by J. Valanciunas"
"271","9:01.0","","","66-56","+3","C. McCollum makes 3-pt jump shot from 26 ft (assist by B. Ingram)"
"272","8:40.0","M. Bridges misses 2-pt jump shot from 14 ft","","66-56","",""
"273","8:37.0","","","66-56","","Defensive rebound by C. McCollum"
"274","8:31.0","","","66-58","+2","C. McCollum makes 2-pt layup from 5 ft"
"275","8:07.0","C. Paul misses 2-pt jump shot from 17 ft","","66-58","",""
"276","8:05.0","","","66-58","","Defensive rebound by J. Valanciunas"
"277","7:59.0","","","66-60","+2","H. Jones makes 2-pt jump shot from 8 ft (assist by B. Ingram)"
"278","7:59.0","","","66-60","","Shooting foul by L. Shamet (drawn by H. Jones)"
"279","7:59.0","","","66-61","+1","H. Jones makes free throw 1 of 1"
"280","7:46.0","L. Shamet misses 3-pt jump shot from 27 ft","","66-61","",""
"281","7:42.0","","","66-61","","Defensive rebound by J. Valanciunas"
"282","7:32.0","","","66-61","","Shooting foul by M. Bridges (drawn by B. Ingram)"
"283","7:32.0","","","66-62","+1","B. Ingram makes free throw 1 of 2"
"284","7:32.0","","","66-63","+1","B. Ingram makes free throw 2 of 2"
"285","7:12.0","Turnover by D. Ayton (lost ball; steal by J. Valanciunas)","","66-63","",""
"286","7:01.0","","","66-63","","Shooting foul by J. Crowder (drawn by J. Valanciunas)"
"287","7:01.0","","","66-64","+1","J. Valanciunas makes free throw 1 of 2"
"288","7:01.0","","","66-65","+1","J. Valanciunas makes free throw 2 of 2"
"289","6:50.0","M. Bridges makes 2-pt layup from 5 ft (assist by C. Paul)","+2","68-65","",""
"290","6:50.0","Shooting foul by B. Ingram (drawn by M. Bridges)","","68-65","",""
"291","6:50.0","","","68-65","","New Orleans full timeout"
"292","6:50.0","M. Bridges makes free throw 1 of 1","+1","69-65","",""
"293","6:36.0","","","69-67","+2","B. Ingram makes 2-pt jump shot from 11 ft"
"294","6:14.0","D. Ayton makes 2-pt dunk from 4 ft (assist by C. Paul)","+2","71-67","",""
"295","5:54.0","","","71-67","","T. Murphy misses 3-pt jump shot from 28 ft"
"296","5:51.0","Defensive rebound by J. Crowder","","71-67","",""
"297","5:43.0","C. Paul makes 2-pt layup from 5 ft","+2","73-67","",""
"298","5:34.0","","","73-67","","Shooting foul by M. Bridges (drawn by C. McCollum)"
"299","5:34.0","","","73-68","+1","C. McCollum makes free throw 1 of 2"
"300","5:34.0","","","73-68","","C. McCollum misses free throw 2 of 2"
"301","5:31.0","Defensive rebound by D. Ayton","","73-68","",""
"302","5:20.0","L. Shamet misses 3-pt jump shot from 27 ft","","73-68","",""
"303","5:17.0","","","73-68","","Defensive rebound by J. Valanciunas"
"304","5:09.0","","","73-70","+2","B. Ingram makes 2-pt jump shot from 11 ft"
"305","4:52.0","Turnover by L. Shamet (lost ball; steal by H. Jones)","","73-70","",""
"306","4:49.0","","","73-72","+2","H. Jones makes 2-pt dunk from 3 ft"
"307","4:31.0","L. Shamet misses 3-pt jump shot from 26 ft","","73-72","",""
"308","4:27.0","","","73-72","","Defensive rebound by T. Murphy"
"309","4:08.0","","","73-72","","C. McCollum misses 2-pt jump shot from 17 ft"
"310","4:05.0","Defensive rebound by D. Ayton","","73-72","",""
"311","3:59.0","C. Paul misses 3-pt jump shot from 25 ft","","73-72","",""
"312","3:56.0","","","73-72","","Defensive rebound by B. Ingram"
"313","3:41.0","","","73-72","","New Orleans full timeout"
"314","3:41.0","T. Craig enters the game for D. Ayton","","73-72","",""
"315","3:41.0","C. Johnson enters the game for J. Crowder","","73-72","",""
"316","3:41.0","J. McGee enters the game for C. Paul","","73-72","",""
"317","3:41.0","C. Payne enters the game for L. Shamet","","73-72","",""
"318","3:41.0","","","73-72","","D. Graham enters the game for H. Jones"
"319","3:41.0","","","73-72","","N. Marshall enters the game for C. McCollum"
"320","3:33.0","","","73-74","+2","B. Ingram makes 2-pt jump shot from 15 ft"
"321","3:16.0","Personal foul by N. Marshall (drawn by M. Bridges)","","73-74","",""
"322","3:16.0","","","73-74","","L. Nance enters the game for J. Valanciunas"
"323","3:06.0","C. Johnson makes 3-pt jump shot from 27 ft (assist by T. Craig)","+3","76-74","",""
"324","2:40.0","","","76-74","","L. Nance misses 2-pt hook shot from 6 ft"
"325","2:38.0","Defensive rebound by J. McGee","","76-74","",""
"326","2:36.0","T. Craig misses 2-pt layup from 8 ft (block by B. Ingram)","","76-74","",""
"327","2:36.0","","","76-74","","Defensive rebound by Team"
"328","2:33.0","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)","Jump ball: B. Ingram vs. T. Craig (D. Graham gains possession)"
"329","2:33.0","","","76-74","","Personal foul by C. Payne (drawn by D. Graham)"
"330","2:33.0","","","76-74","","D. Graham misses free throw 1 of 2"
"331","2:33.0","","","76-74","","Offensive rebound by Team"
"332","2:33.0","L. Shamet enters the game for M. Bridges","","76-74","",""
"333","2:33.0","","","76-75","+1","D. Graham makes free throw 2 of 2"
"334","2:19.0","J. McGee misses 2-pt hook shot from 8 ft","","76-75","",""
"335","2:15.0","","","76-75","","Defensive rebound by L. Nance"
"336","2:10.0","","","76-75","","Turnover by D. Graham (lost ball; steal by J. McGee)"
"337","2:06.0","Phoenix full timeout","","76-75","",""
"338","2:02.0","J. McGee makes 2-pt layup from 6 ft (assist by C. Payne)","+2","78-75","",""
"339","1:43.0","","","78-77","+2","N. Marshall makes 2-pt jump shot from 12 ft"
"340","1:24.0","Shooting foul by L. Nance (drawn by C. Payne)","","78-77","",""
"341","1:24.0","C. Payne makes free throw 1 of 2","+1","79-77","",""
"342","1:24.0","C. Payne misses free throw 2 of 2","","79-77","",""
"343","1:22.0","","","79-77","","Defensive rebound by T. Murphy"
"344","1:04.0","","","79-79","+2","B. Ingram makes 2-pt jump shot from 17 ft"
"345","0:47.0","J. McGee makes 2-pt jump shot from 7 ft (assist by C. Payne)","+2","81-79","",""
"346","0:30.0","","","81-79","","D. Graham misses 3-pt jump shot from 28 ft"
"347","0:27.0","Defensive rebound by Team","","81-79","",""
"348","0:06.0","C. Johnson misses 3-pt jump shot from 25 ft","","81-79","",""
"349","0:02.0","Offensive rebound by L. Shamet","","81-79","",""
"350","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"351","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"352","Time","Phoenix","","Score","","New Orleans"
"353","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"354","11:45.0","Turnover by L. Shamet (step out of bounds)","","81-79","",""
"355","11:31.0","","","81-79","","C. McCollum misses 3-pt jump shot from 26 ft"
"356","11:27.0","Defensive rebound by C. Payne","","81-79","",""
"357","11:23.0","C. Payne misses 3-pt jump shot from 25 ft","","81-79","",""
"358","11:21.0","","","81-79","","Defensive rebound by N. Marshall"
"359","11:08.0","","","81-79","","H. Jones misses 3-pt jump shot from 23 ft"
"360","11:04.0","Defensive rebound by J. McGee","","81-79","",""
"361","10:56.0","C. Payne misses 2-pt layup from 5 ft","","81-79","",""
"362","10:53.0","","","81-79","","Defensive rebound by C. McCollum"
"363","10:47.0","","","81-81","+2","L. Nance makes 2-pt jump shot from 6 ft (assist by J. Alvarado)"
"364","10:31.0","Personal foul by L. Nance (drawn by J. McGee)","","81-81","",""
"365","10:31.0","M. Bridges enters the game for T. Craig","","81-81","",""
"366","10:31.0","C. Paul enters the game for C. Payne","","81-81","",""
"367","10:24.0","J. McGee makes 2-pt hook shot from 5 ft","+2","83-81","",""
"368","10:11.0","","","83-83","+2","C. McCollum makes 2-pt layup from 5 ft"
"369","9:57.0","Shooting foul by N. Marshall (drawn by C. Paul)","","83-83","",""
"370","9:57.0","C. Paul misses free throw 1 of 2","","83-83","",""
"371","9:57.0","Offensive rebound by Team","","83-83","",""
"372","9:57.0","C. Paul makes free throw 2 of 2","+1","84-83","",""
"373","9:45.0","","","84-86","+3","J. Alvarado makes 3-pt jump shot from 25 ft (assist by C. McCollum)"
"374","9:25.0","C. Paul misses 2-pt layup from 7 ft (block by C. McCollum)","","84-86","",""
"375","9:24.0","Offensive rebound by C. Paul","","84-86","",""
"376","9:22.0","C. Paul makes 2-pt jump shot from 10 ft","+2","86-86","",""
"377","9:08.0","","","86-86","","L. Nance misses 3-pt jump shot from 25 ft"
"378","9:05.0","","","86-86","","Offensive rebound by Team"
"379","9:05.0","D. Ayton enters the game for J. McGee","","86-86","",""
"380","9:05.0","","","86-86","","T. Murphy enters the game for N. Marshall"
"381","9:03.0","","","86-86","","C. McCollum misses 3-pt jump shot from 25 ft"
"382","9:03.0","Defensive rebound by D. Ayton","","86-86","",""
"383","8:45.0","D. Ayton misses 2-pt hook shot from 7 ft (block by L. Nance)","","86-86","",""
"384","8:42.0","","","86-86","","Defensive rebound by J. Alvarado"
"385","8:33.0","","","86-88","+2","J. Alvarado makes 2-pt layup from 4 ft"
"386","8:21.0","Personal foul by J. Alvarado (drawn by D. Ayton)","","86-88","",""
"387","8:06.0","D. Ayton misses 2-pt jump shot from 12 ft","","86-88","",""
"388","8:04.0","","","86-88","","Defensive rebound by C. McCollum"
"389","7:53.0","","","86-88","","C. McCollum misses 2-pt jump shot from 15 ft"
"390","7:49.0","Defensive rebound by C. Paul","","86-88","",""
"391","7:34.0","C. Paul makes 2-pt jump shot from 14 ft","+2","88-88","",""
"392","7:13.0","","","88-90","+2","J. Alvarado makes 2-pt jump shot from 11 ft"
"393","6:49.0","M. Bridges makes 2-pt jump shot from 16 ft (assist by C. Paul)","+2","90-90","",""
"394","6:32.0","","","90-90","","New Orleans full timeout"
"395","6:32.0","J. Crowder enters the game for L. Shamet","","90-90","",""
"396","6:32.0","","","90-90","","B. Ingram enters the game for T. Murphy"
"397","6:32.0","","","90-90","","J. Valanciunas enters the game for L. Nance"
"398","6:24.0","","","90-90","","Shooting foul by J. Crowder (drawn by H. Jones)"
"399","6:24.0","","","90-91","+1","H. Jones makes free throw 1 of 2"
"400","6:24.0","","","90-91","","H. Jones misses free throw 2 of 2"
"401","6:19.0","Defensive rebound by D. Ayton","","90-91","",""
"402","6:01.0","C. Paul makes 2-pt jump shot from 16 ft","+2","92-91","",""
"403","5:41.0","","","92-93","+2","J. Alvarado makes 2-pt layup from 3 ft"
"404","5:26.0","C. Paul makes 2-pt jump shot from 19 ft","+2","94-93","",""
"405","5:13.0","","","94-93","","J. Alvarado misses 2-pt layup from 4 ft"
"406","5:10.0","Defensive rebound by D. Ayton","","94-93","",""
"407","4:52.0","C. Paul makes 2-pt jump shot from 13 ft","+2","96-93","",""
"408","4:36.0","","","96-93","","Offensive foul by J. Valanciunas (drawn by J. Crowder)"
"409","4:36.0","","","96-93","","Turnover by J. Valanciunas (offensive foul)"
"410","4:36.0","","","96-93","","L. Nance enters the game for J. Valanciunas"
"411","4:16.0","C. Paul makes 2-pt jump shot from 19 ft","+2","98-93","",""
"412","3:55.0","","","98-95","+2","B. Ingram makes 2-pt jump shot from 19 ft (assist by L. Nance)"
"413","3:33.0","Personal foul by L. Nance (drawn by C. Paul)","","98-95","",""
"414","3:28.0","Phoenix full timeout","","98-95","",""
"415","3:19.0","C. Paul misses 3-pt jump shot from 27 ft","","98-95","",""
"416","3:18.0","Offensive rebound by J. Crowder","","98-95","",""
"417","3:17.0","J. Crowder makes 2-pt layup at rim","+2","100-95","",""
"418","2:52.0","","","100-95","","L. Nance misses 3-pt jump shot from 27 ft"
"419","2:48.0","Defensive rebound by D. Ayton","","100-95","",""
"420","2:30.0","C. Johnson misses 3-pt jump shot from 26 ft","","100-95","",""
"421","2:26.0","Offensive rebound by D. Ayton","","100-95","",""
"422","2:16.0","C. Paul misses 3-pt jump shot from 27 ft","","100-95","",""
"423","2:11.0","Offensive rebound by C. Paul","","100-95","",""
"424","2:08.0","J. Crowder makes 2-pt jump shot from 19 ft (assist by C. Paul)","+2","102-95","",""
"425","1:55.0","","","102-97","+2","C. McCollum makes 2-pt layup from 3 ft"
"426","1:32.0","C. Paul makes 2-pt jump shot from 6 ft (assist by J. Crowder)","+2","104-97","",""
"427","1:14.0","","","104-97","","L. Nance misses 3-pt jump shot from 26 ft"
"428","1:10.0","Defensive rebound by D. Ayton","","104-97","",""
"429","0:49.0","Shooting foul by L. Nance (drawn by M. Bridges)","","104-97","",""
"430","0:49.0","Phoenix full timeout","","104-97","",""
"431","0:49.0","T. Craig enters the game for D. Ayton","","104-97","",""
"432","0:49.0","","","104-97","","J. Valanciunas enters the game for J. Alvarado"
"433","0:49.0","M. Bridges makes free throw 1 of 2","+1","105-97","",""
"434","0:49.0","M. Bridges makes free throw 2 of 2","+1","106-97","",""
"435","0:49.0","","","106-97","","New Orleans full timeout"
"436","0:49.0","","","106-97","","T. Murphy enters the game for J. Valanciunas"
"437","0:47.0","","","106-97","","Personal foul by J. Crowder (drawn by C. McCollum)"
"438","0:42.0","","","106-100","+3","B. Ingram makes 3-pt jump shot from 25 ft (assist by C. McCollum)"
"439","0:36.0","Personal foul by L. Nance (drawn by C. Paul)","","106-100","",""
"440","0:36.0","C. Paul makes free throw 1 of 2","+1","107-100","",""
"441","0:36.0","C. Paul makes free throw 2 of 2","+1","108-100","",""
"442","0:30.0","","","108-100","","Shooting foul by T. Craig (drawn by B. Ingram)"
"443","0:30.0","","","108-100","","Instant Replay"
"444","0:30.0","","","108-101","+1","B. Ingram makes free throw 1 of 3"
"445","0:30.0","","","108-102","+1","B. Ingram makes free throw 2 of 3"
"446","0:30.0","D. Ayton enters the game for T. Craig","","108-102","",""
"447","0:30.0","","","108-102","","J. Alvarado enters the game for T. Murphy"
"448","0:30.0","","","108-103","+1","B. Ingram makes free throw 3 of 3"
"449","0:30.0","Phoenix full timeout","","108-103","",""
"450","0:30.0","L. Shamet enters the game for D. Ayton","","108-103","",""
"451","0:28.0","Personal foul by H. Jones (drawn by C. Paul)","","108-103","",""
"452","0:28.0","C. Paul makes free throw 1 of 2","+1","109-103","",""
"453","0:28.0","T. Craig enters the game for L. Shamet","","109-103","",""
"454","0:28.0","","","109-103","","T. Murphy enters the game for J. Alvarado"
"455","0:28.0","C. Paul makes free throw 2 of 2","+1","110-103","",""
"456","0:22.0","","","110-106","+3","B. Ingram makes 3-pt jump shot from 26 ft (assist by C. McCollum)"
"457","0:20.0","Personal foul by T. Murphy (drawn by M. Bridges)","","110-106","",""
"458","0:20.0","M. Bridges makes free throw 1 of 2","+1","111-106","",""
"459","0:20.0","M. Bridges makes free throw 2 of 2","+1","112-106","",""
"460","0:14.0","","","112-108","+2","C. McCollum makes 2-pt layup from 5 ft"
"461","0:12.0","Personal foul by B. Ingram (drawn by M. Bridges)","","112-108","",""
"462","0:12.0","M. Bridges makes free throw 1 of 2","+1","113-108","",""
"463","0:12.0","M. Bridges makes free throw 2 of 2","+1","114-108","",""
"464","0:12.0","","","114-108","","New Orleans full timeout"
"465","0:06.0","","","114-108","","B. Ingram misses 3-pt jump shot from 28 ft"
"466","0:06.0","Defensive rebound by Team","","114-108","",""
"467","0:06.0","","","114-108","","Loose ball foul by L. Nance (drawn by C. Johnson)"
"468","0:06.0","","","114-108","","J. Alvarado enters the game for L. Nance"
"469","0:06.0","C. Johnson misses free throw 1 of 2","","114-108","",""
"470","0:06.0","Offensive rebound by Team","","114-108","",""
"471","0:06.0","C. Johnson misses free throw 2 of 2","","114-108","",""
"472","0:03.0","","","114-108","","Defensive rebound by H. Jones"
"473","0:00.0","","","114-111","+3","C. McCollum makes 3-pt jump shot from 25 ft"
"474","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
