"","Time","Golden State","","Score","","Memphis"
"258","Time","Golden State","","Score","","Memphis"
"259","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"260","11:49.0","S. Curry misses 3-pt jump shot from 25 ft","","51-56","",""
"261","11:47.0","Offensive rebound by A. Wiggins","","51-56","",""
"262","11:42.0","K. Thompson misses 3-pt jump shot from 24 ft","","51-56","",""
"263","11:36.0","Offensive rebound by S. Curry","","51-56","",""
"264","11:35.0","S. Curry misses 3-pt jump shot from 27 ft","","51-56","",""
"265","11:33.0","","","51-56","","Defensive rebound by X. Tillman"
"266","11:18.0","","","51-59","+3","J. Morant makes 3-pt jump shot from 27 ft"
"267","11:00.0","S. Curry misses 2-pt layup from 2 ft (block by J. Jackson)","","51-59","",""
"268","10:57.0","Offensive rebound by S. Curry","","51-59","",""
"269","10:55.0","A. Wiggins misses 3-pt jump shot from 23 ft","","51-59","",""
"270","10:52.0","","","51-59","","Defensive rebound by J. Jackson"
"271","10:46.0","","","51-61","+2","X. Tillman makes 2-pt layup from 4 ft (assist by J. Morant)"
"272","10:46.0","","","51-61","","Shooting foul by S. Curry (drawn by X. Tillman)"
"273","10:46.0","","","51-62","+1","X. Tillman makes free throw 1 of 1"
"274","10:33.0","D. Green makes 2-pt layup from 5 ft (assist by S. Curry)","+2","53-62","",""
"275","10:16.0","","","53-62","","J. Jackson misses 3-pt jump shot from 26 ft"
"276","10:12.0","Defensive rebound by S. Curry","","53-62","",""
"277","10:12.0","D. Green makes 2-pt layup from 1 ft (assist by S. Curry)","+2","55-62","",""
"278","10:12.0","","","55-62","","Violation by Team (def goaltending)"
"279","9:55.0","","","55-65","+3","Z. Williams makes 3-pt jump shot from 25 ft (assist by X. Tillman)"
"280","9:45.0","K. Thompson misses 3-pt jump shot from 28 ft","","55-65","",""
"281","9:44.0","Offensive rebound by Team","","55-65","",""
"282","9:44.0","","","55-65","","Loose ball foul by Z. Williams (drawn by A. Wiggins)"
"283","9:36.0","K. Thompson misses 3-pt jump shot from 24 ft","","55-65","",""
"284","9:33.0","","","55-65","","Defensive rebound by X. Tillman"
"285","9:28.0","","","55-65","","J. Jackson misses 3-pt jump shot from 26 ft"
"286","9:26.0","Defensive rebound by K. Thompson","","55-65","",""
"287","9:15.0","J. Poole makes 2-pt layup from 3 ft","+2","57-65","",""
"288","9:07.0","","","57-65","","Turnover by J. Morant (bad pass; steal by K. Thompson)"
"289","9:03.0","J. Poole makes 2-pt dunk from 1 ft (assist by K. Thompson)","+2","59-65","",""
"290","8:54.0","","","59-65","","Turnover by D. Bane (bad pass; steal by K. Thompson)"
"291","8:47.0","A. Wiggins makes 2-pt dunk from 1 ft (assist by J. Poole)","+2","61-65","",""
"292","8:47.0","","","61-65","","Memphis full timeout"
"293","8:36.0","","","61-65","","Personal foul by J. Poole (drawn by Z. Williams)"
"294","8:21.0","","","61-65","","J. Jackson misses 2-pt hook shot from 9 ft"
"295","8:17.0","","","61-65","","Offensive rebound by J. Jackson"
"296","8:17.0","","","61-65","","J. Jackson misses 2-pt layup at rim"
"297","8:17.0","","","61-65","","Offensive rebound by X. Tillman"
"298","8:14.0","","","61-65","","X. Tillman misses 2-pt layup at rim"
"299","8:13.0","","","61-65","","Offensive rebound by X. Tillman"
"300","8:10.0","","","61-65","","J. Morant misses 2-pt jump shot from 6 ft"
"301","8:10.0","","","61-65","","Offensive rebound by J. Morant"
"302","8:07.0","","","61-65","","J. Morant misses 2-pt layup at rim"
"303","8:05.0","Defensive rebound by A. Wiggins","","61-65","",""
"304","8:01.0","K. Thompson misses 2-pt jump shot from 9 ft","","61-65","",""
"305","7:58.0","","","61-65","","Defensive rebound by D. Bane"
"306","7:45.0","","","61-65","","Z. Williams misses 3-pt jump shot from 23 ft"
"307","7:42.0","","","61-65","","Offensive rebound by D. Bane"
"308","7:40.0","","","61-68","+3","D. Bane makes 3-pt jump shot from 25 ft"
"309","7:22.0","K. Thompson misses 2-pt jump shot from 10 ft","","61-68","",""
"310","7:20.0","","","61-68","","Defensive rebound by J. Jackson"
"311","7:16.0","","","61-68","","D. Bane misses 3-pt jump shot from 23 ft"
"312","7:11.0","Defensive rebound by D. Green","","61-68","",""
"313","7:03.0","Turnover by S. Curry (bad pass; steal by X. Tillman)","","61-68","",""
"314","7:00.0","","","61-70","+2","X. Tillman makes 2-pt dunk at rim"
"315","7:00.0","Golden State full timeout","","61-70","",""
"316","6:46.0","D. Green misses 2-pt jump shot from 7 ft (block by J. Jackson)","","61-70","",""
"317","6:41.0","","","61-70","","Defensive rebound by J. Morant"
"318","6:40.0","","","61-70","","J. Morant misses 2-pt layup from 2 ft (block by A. Wiggins)"
"319","6:35.0","Defensive rebound by D. Green","","61-70","",""
"320","6:24.0","Shooting foul by J. Jackson (drawn by A. Wiggins)","","61-70","",""
"321","6:24.0","A. Wiggins makes free throw 1 of 2","+1","62-70","",""
"322","6:24.0","","","62-70","","T. Jones enters the game for Z. Williams"
"323","6:24.0","A. Wiggins misses free throw 2 of 2","","62-70","",""
"324","6:21.0","","","62-70","","Defensive rebound by D. Bane"
"325","6:05.0","","","62-72","+2","D. Bane makes 2-pt jump shot from 9 ft (assist by J. Morant)"
"326","5:54.0","Personal foul by J. Morant (drawn by S. Curry)","","62-72","",""
"327","5:54.0","O. Porter enters the game for K. Thompson","","62-72","",""
"328","5:44.0","Turnover by D. Green (bad pass)","","62-72","",""
"329","5:44.0","","","62-72","","B. Clarke enters the game for X. Tillman"
"330","5:22.0","","","62-72","","J. Jackson misses 3-pt jump shot from 23 ft"
"331","5:18.0","Defensive rebound by A. Wiggins","","62-72","",""
"332","5:10.0","J. Poole makes 2-pt layup from 1 ft (assist by D. Green)","+2","64-72","",""
"333","5:00.0","","","64-74","+2","B. Clarke makes 2-pt jump shot from 12 ft (assist by T. Jones)"
"334","4:36.0","A. Wiggins misses 2-pt jump shot from 11 ft","","64-74","",""
"335","4:36.0","Offensive rebound by Team","","64-74","",""
"336","4:36.0","","","64-74","","Loose ball foul by J. Jackson (drawn by O. Porter)"
"337","4:36.0","","","64-74","","K. Anderson enters the game for J. Jackson"
"338","4:28.0","A. Wiggins makes 3-pt jump shot from 24 ft (assist by J. Poole)","+3","67-74","",""
"339","4:24.0","","","67-74","","Personal foul by J. Poole (drawn by B. Clarke)"
"340","4:24.0","K. Thompson enters the game for J. Poole","","67-74","",""
"341","4:24.0","","","67-74","","D. Melton enters the game for D. Bane"
"342","4:05.0","","","67-74","","Turnover by D. Melton (bad pass)"
"343","3:59.0","A. Wiggins misses 3-pt jump shot from 23 ft","","67-74","",""
"344","3:56.0","","","67-74","","Defensive rebound by B. Clarke"
"345","3:51.0","","","67-74","","D. Melton misses 3-pt jump shot from 25 ft"
"346","3:47.0","Defensive rebound by A. Wiggins","","67-74","",""
"347","3:39.0","S. Curry misses 3-pt jump shot from 25 ft","","67-74","",""
"348","3:37.0","Offensive rebound by A. Wiggins","","67-74","",""
"349","3:37.0","Personal foul by K. Anderson (drawn by A. Wiggins)","","67-74","",""
"350","3:37.0","A. Wiggins makes free throw 1 of 2","+1","68-74","",""
"351","3:37.0","J. Kuminga enters the game for D. Green","","68-74","",""
"352","3:37.0","A. Wiggins makes free throw 2 of 2","+1","69-74","",""
"353","3:26.0","","","69-74","","J. Morant misses 3-pt jump shot from 27 ft"
"354","3:23.0","","","69-74","","Offensive rebound by D. Melton"
"355","3:21.0","","","69-74","","Turnover by D. Melton (bad pass; steal by K. Thompson)"
"356","3:08.0","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)","Jump ball: A. Wiggins vs. J. Morant (O. Porter gains possession)"
"357","3:02.0","S. Curry makes 2-pt layup from 1 ft","+2","71-74","",""
"358","2:37.0","","","71-74","","K. Anderson misses 2-pt jump shot from 14 ft"
"359","2:31.0","Defensive rebound by O. Porter","","71-74","",""
"360","2:15.0","J. Kuminga misses 2-pt jump shot from 6 ft (block by B. Clarke)","","71-74","",""
"361","2:15.0","Offensive rebound by O. Porter","","71-74","",""
"362","2:15.0","Shooting foul by K. Anderson (drawn by O. Porter)","","71-74","",""
"363","2:15.0","O. Porter makes free throw 1 of 2","+1","72-74","",""
"364","2:15.0","O. Porter makes free throw 2 of 2","+1","73-74","",""
"365","2:02.0","","","73-74","","T. Jones misses 3-pt jump shot from 25 ft"
"366","2:01.0","","","73-74","","Offensive rebound by Team"
"367","2:01.0","Loose ball foul by K. Thompson (drawn by K. Anderson)","","73-74","",""
"368","1:51.0","","","73-77","+3","J. Morant makes 3-pt jump shot from 26 ft"
"369","1:31.0","S. Curry makes 2-pt jump shot from 12 ft","+2","75-77","",""
"370","1:12.0","","","75-77","","J. Morant misses 2-pt jump shot from 8 ft"
"371","1:09.0","Defensive rebound by O. Porter","","75-77","",""
"372","0:58.0","O. Porter makes 2-pt layup from 2 ft (assist by S. Curry)","+2","77-77","",""
"373","0:38.0","","","77-77","","J. Morant misses 3-pt jump shot from 28 ft"
"374","0:32.0","Defensive rebound by O. Porter","","77-77","",""
"375","0:27.0","S. Curry misses 2-pt layup from 1 ft","","77-77","",""
"376","0:26.0","","","77-77","","Defensive rebound by K. Anderson"
"377","0:02.0","","","77-77","","T. Jones misses 3-pt jump shot from 29 ft"
"378","0:02.0","","","77-77","","Offensive rebound by J. Morant"
"379","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"380","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"381","Time","Golden State","","Score","","Memphis"
"382","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"383","11:42.0","","","77-77","","J. Jackson misses 2-pt hook shot from 5 ft"
"384","11:39.0","Defensive rebound by J. Poole","","77-77","",""
"385","11:28.0","J. Poole makes 2-pt layup from 1 ft","+2","79-77","",""
"386","11:17.0","","","79-77","","T. Jones misses 3-pt jump shot from 25 ft"
"387","11:15.0","Defensive rebound by J. Kuminga","","79-77","",""
"388","11:07.0","Shooting foul by J. Jackson (drawn by J. Poole)","","79-77","",""
"389","11:07.0","J. Poole makes free throw 1 of 2","+1","80-77","",""
"390","11:07.0","","","80-77","","D. Melton enters the game for J. Jackson"
"391","11:07.0","J. Poole makes free throw 2 of 2","+1","81-77","",""
"392","10:47.0","","","81-77","","D. Melton misses 3-pt jump shot from 27 ft"
"393","10:43.0","Defensive rebound by J. Kuminga","","81-77","",""
"394","10:32.0","J. Poole misses 3-pt jump shot from 26 ft","","81-77","",""
"395","10:29.0","","","81-77","","Defensive rebound by B. Clarke"
"396","10:24.0","","","81-77","","Z. Williams misses 3-pt jump shot from 26 ft"
"397","10:20.0","Defensive rebound by D. Lee","","81-77","",""
"398","10:10.0","J. Poole misses 2-pt layup from 2 ft (block by D. Melton)","","81-77","",""
"399","10:08.0","","","81-77","","Defensive rebound by Z. Williams"
"400","10:04.0","","","81-79","+2","T. Jones makes 2-pt layup from 2 ft"
"401","10:04.0","","","81-79","","Shooting foul by J. Poole (drawn by T. Jones)"
"402","10:04.0","","","81-80","+1","T. Jones makes free throw 1 of 1"
"403","9:47.0","J. Kuminga misses 2-pt jump shot from 21 ft","","81-80","",""
"404","9:45.0","","","81-80","","Defensive rebound by D. Melton"
"405","9:41.0","","","81-80","","Offensive foul by D. Melton (drawn by J. Kuminga)"
"406","9:41.0","","","81-80","","Turnover by D. Melton (offensive foul)"
"407","9:36.0","K. Thompson misses 3-pt jump shot from 23 ft","","81-80","",""
"408","9:32.0","","","81-80","","Defensive rebound by D. Melton"
"409","9:23.0","","","81-80","","T. Jones misses 2-pt jump shot from 12 ft"
"410","9:20.0","Defensive rebound by J. Kuminga","","81-80","",""
"411","9:10.0","J. Poole misses 3-pt jump shot from 27 ft","","81-80","",""
"412","9:07.0","","","81-80","","Defensive rebound by B. Clarke"
"413","8:59.0","","","81-80","","Turnover by B. Clarke (lost ball; steal by O. Porter)"
"414","8:55.0","J. Kuminga makes 2-pt dunk from 1 ft (assist by K. Thompson)","+2","83-80","",""
"415","8:55.0","","","83-80","","Memphis full timeout"
"416","8:55.0","S. Curry enters the game for J. Poole","","83-80","",""
"417","8:55.0","D. Green enters the game for O. Porter","","83-80","",""
"418","8:55.0","","","83-80","","J. Morant enters the game for T. Jones"
"419","8:36.0","","","83-83","+3","Z. Williams makes 3-pt jump shot from 23 ft (assist by D. Melton)"
"420","8:23.0","Turnover by S. Curry (bad pass; steal by D. Melton)","","83-83","",""
"421","8:17.0","","","83-83","","D. Bane misses 3-pt jump shot from 24 ft"
"422","8:12.0","Defensive rebound by D. Green","","83-83","",""
"423","8:04.0","Turnover by S. Curry (lost ball; steal by D. Melton)","","83-83","",""
"424","7:57.0","","","83-86","+3","Z. Williams makes 3-pt jump shot from 25 ft (assist by J. Morant)"
"425","7:57.0","Golden State full timeout","","83-86","",""
"426","7:57.0","O. Porter enters the game for J. Kuminga","","83-86","",""
"427","7:57.0","A. Wiggins enters the game for D. Lee","","83-86","",""
"428","7:43.0","K. Thompson makes 2-pt layup from 2 ft (assist by D. Green)","+2","85-86","",""
"429","7:28.0","","","85-86","","J. Morant misses 3-pt jump shot from 27 ft"
"430","7:26.0","Defensive rebound by D. Green","","85-86","",""
"431","7:19.0","A. Wiggins makes 2-pt layup from 1 ft (assist by D. Green)","+2","87-86","",""
"432","7:05.0","","","87-86","","J. Morant misses 2-pt layup from 3 ft"
"433","7:04.0","","","87-86","","Offensive rebound by B. Clarke"
"434","7:03.0","","","87-86","","Turnover by B. Clarke (lost ball)"
"435","7:02.0","","","87-86","","Loose ball foul by B. Clarke (drawn by A. Wiggins)"
"436","7:02.0","","","87-86","","Instant Replay (Request: Stands)"
"437","6:50.0","A. Wiggins makes 2-pt jump shot from 7 ft (assist by S. Curry)","+2","89-86","",""
"438","6:31.0","Jump ball: S. Curry vs. D. Melton (S. Curry gains possession)","Jump ball: S. Curry vs. D. Melton (S. Curry gains possession)","Jump ball: S. Curry vs. D. Melton (S. Curry gains possession)","Jump ball: S. Curry vs. D. Melton (S. Curry gains possession)","Jump ball: S. Curry vs. D. Melton (S. Curry gains possession)"
"439","6:31.0","","","89-86","","Turnover by D. Melton (lost ball; steal by S. Curry)"
"440","6:23.0","Turnover by A. Wiggins (bad pass; steal by J. Morant)","","89-86","",""
"441","6:11.0","","","89-88","+2","J. Morant makes 2-pt layup from 1 ft"
"442","6:11.0","","","89-88","","Shooting foul by D. Green (drawn by J. Morant)"
"443","6:11.0","","","89-88","","J. Jackson enters the game for D. Melton"
"444","6:11.0","","","89-89","+1","J. Morant makes free throw 1 of 1"
"445","5:50.0","O. Porter misses 2-pt jump shot from 21 ft","","89-89","",""
"446","5:47.0","","","89-89","","Defensive rebound by D. Bane"
"447","5:38.0","","","89-89","","D. Bane misses 3-pt jump shot from 28 ft"
"448","5:35.0","Defensive rebound by O. Porter","","89-89","",""
"449","5:28.0","Turnover by S. Curry (bad pass; steal by B. Clarke)","","89-89","",""
"450","5:20.0","","","89-89","","J. Morant misses 2-pt jump shot from 14 ft"
"451","5:17.0","Defensive rebound by O. Porter","","89-89","",""
"452","5:01.0","K. Thompson misses 3-pt jump shot from 25 ft","","89-89","",""
"453","4:54.0","Offensive rebound by S. Curry","","89-89","",""
"454","4:53.0","S. Curry makes 3-pt jump shot from 26 ft","+3","92-89","",""
"455","4:53.0","","","92-89","","Memphis full timeout"
"456","4:53.0","J. Poole enters the game for O. Porter","","92-89","",""
"457","4:45.0","","","92-89","","Shooting foul by D. Green (drawn by B. Clarke)"
"458","4:45.0","","","92-90","+1","B. Clarke makes free throw 1 of 2"
"459","4:45.0","","","92-91","+1","B. Clarke makes free throw 2 of 2"
"460","4:33.0","S. Curry makes 3-pt jump shot from 25 ft (assist by J. Poole)","+3","95-91","",""
"461","4:16.0","","","95-93","+2","J. Morant makes 2-pt layup from 1 ft"
"462","3:59.0","Personal foul by J. Jackson (drawn by D. Green)","","95-93","",""
"463","3:59.0","","","95-93","","D. Melton enters the game for J. Jackson"
"464","3:59.0","Golden State full timeout","","95-93","",""
"465","3:50.0","J. Poole makes 2-pt layup from 1 ft (assist by S. Curry)","+2","97-93","",""
"466","3:34.0","","","97-95","+2","J. Morant makes 2-pt layup from 2 ft"
"467","3:11.0","A. Wiggins misses 3-pt jump shot from 25 ft","","97-95","",""
"468","3:08.0","","","97-95","","Defensive rebound by D. Bane"
"469","2:55.0","","","97-95","","J. Morant misses 2-pt layup from 3 ft"
"470","2:53.0","Defensive rebound by S. Curry","","97-95","",""
"471","2:50.0","S. Curry misses 3-pt jump shot from 26 ft","","97-95","",""
"472","2:48.0","","","97-95","","Defensive rebound by Team"
"473","2:48.0","Loose ball foul by A. Wiggins (drawn by B. Clarke)","","97-95","",""
"474","2:28.0","","","97-98","+3","J. Morant makes 3-pt jump shot from 26 ft"
"475","2:12.0","Personal foul by J. Morant (drawn by J. Poole)","","97-98","",""
"476","2:06.0","S. Curry makes 2-pt jump shot from 2 ft","+2","99-98","",""
"477","1:42.0","","","99-100","+2","J. Morant makes 2-pt jump shot from 7 ft"
"478","1:32.0","S. Curry misses 2-pt layup from 4 ft (block by D. Melton)","","99-100","",""
"479","1:32.0","Offensive rebound by Team","","99-100","",""
"480","1:26.0","K. Thompson misses 3-pt jump shot from 26 ft","","99-100","",""
"481","1:24.0","","","99-100","","Defensive rebound by D. Melton"
"482","1:07.0","","","99-100","","J. Morant misses 3-pt jump shot from 28 ft"
"483","1:03.0","","","99-100","","Offensive rebound by Z. Williams"
"484","0:51.0","","","99-100","","Z. Williams misses 3-pt jump shot from 24 ft"
"485","0:49.0","","","99-100","","Offensive rebound by Team"
"486","0:49.0","Loose ball foul by D. Green (drawn by J. Morant)","","99-100","",""
"487","0:49.0","","","99-101","+1","J. Morant makes free throw 1 of 2"
"488","0:49.0","","","99-102","+1","J. Morant makes free throw 2 of 2"
"489","0:49.0","Golden State full timeout","","99-102","",""
"490","0:40.0","D. Green makes 2-pt layup from 1 ft (assist by S. Curry)","+2","101-102","",""
"491","0:30.0","","","101-104","+2","J. Morant makes 2-pt jump shot from 9 ft"
"492","0:17.0","Turnover by K. Thompson (traveling)","","101-104","",""
"493","0:17.0","O. Porter enters the game for J. Poole","","101-104","",""
"494","0:17.0","","","101-104","","T. Jones enters the game for B. Clarke"
"495","0:17.0","","","101-104","","Memphis full timeout"
"496","0:17.0","","","101-104","","K. Anderson enters the game for D. Melton"
"497","0:13.0","","","101-104","","Personal take foul by A. Wiggins (drawn by J. Morant)"
"498","0:13.0","","","101-105","+1","J. Morant makes free throw 1 of 2"
"499","0:13.0","K. Looney enters the game for A. Wiggins","","101-105","",""
"500","0:13.0","","","101-105","","B. Clarke enters the game for D. Bane"
"501","0:13.0","","","101-105","","D. Melton enters the game for T. Jones"
"502","0:13.0","","","101-106","+1","J. Morant makes free throw 2 of 2"
"503","0:13.0","Golden State full timeout","","101-106","",""
"504","0:13.0","J. Poole enters the game for K. Looney","","101-106","",""
"505","0:13.0","A. Wiggins enters the game for O. Porter","","101-106","",""
"506","0:10.0","S. Curry misses 3-pt jump shot from 30 ft","","101-106","",""
"507","0:07.0","","","101-106","","Defensive rebound by J. Morant"
"508","0:00.0","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter","End of 4th quarter"
