Time,player_name,Regular Season Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
9:25.0,G.Antetokounmpo,2,4-7,1.0,2-pt,jump,17,misses,Milwaukee,2022-06-14 09:25:00
8:27.0,G.Antetokounmpo,2,7-9,1.0,3-pt,jump,27,misses,Milwaukee,2022-06-14 08:27:00
9:50.0,G.Antetokounmpo,2,39-28,2.0,2-pt,layup,2,makes,Milwaukee,2022-06-14 09:50:00
4:35.0,G.Antetokounmpo,2,43-35,2.0,2-pt,layup,11,makes,Milwaukee,2022-06-14 04:35:00
4:35.0,G.Antetokounmpo,2,44-35,2.0,free,throw,1,makes,Milwaukee,2022-06-14 04:35:00
1:23.0,G.Antetokounmpo,2,47-45,2.0,2-pt,dunk,3,makes,Milwaukee,2022-06-14 01:23:00
7:31.0,G.Antetokounmpo,2,58-64,3.0,2-pt,jump,13,makes,Milwaukee,2022-06-14 07:31:00
6:22.0,G.Antetokounmpo,2,59-66,3.0,free,throw,2,makes,Milwaukee,2022-06-14 06:22:00
6:22.0,G.Antetokounmpo,2,60-66,3.0,free,throw,2,makes,Milwaukee,2022-06-14 06:22:00
5:02.0,G.Antetokounmpo,2,67-71,3.0,2-pt,layup,2,makes,Milwaukee,2022-06-14 05:02:00
4:00.0,G.Antetokounmpo,2,67-74,3.0,2-pt,jump,14,misses,Milwaukee,2022-06-14 04:00:00
3:31.0,G.Antetokounmpo,2,67-74,3.0,3-pt,jump,25,misses,Milwaukee,2022-06-14 03:31:00
11:23.0,G.Antetokounmpo,2,74-85,4.0,2-pt,jump,11,misses,Milwaukee,2022-06-14 11:23:00
10:20.0,G.Antetokounmpo,2,78-90,4.0,free,throw,1,misses,Milwaukee,2022-06-14 10:20:00
10:20.0,G.Antetokounmpo,2,78-90,4.0,2-pt,layup,9,makes,Milwaukee,2022-06-14 10:20:00
8:59.0,G.Antetokounmpo,2,81-90,4.0,3-pt,jump,25,misses,Milwaukee,2022-06-14 08:59:00
7:06.0,G.Antetokounmpo,2,83-93,4.0,2-pt,layup,3,makes,Milwaukee,2022-06-14 07:06:00
5:16.0,G.Antetokounmpo,2,86-100,4.0,2-pt,hook,10,misses,Milwaukee,2022-06-14 05:16:00
4:49.0,G.Antetokounmpo,2,86-100,4.0,free,throw,2,misses,Milwaukee,2022-06-14 04:49:00
4:49.0,G.Antetokounmpo,2,87-100,4.0,free,throw,2,makes,Milwaukee,2022-06-14 04:49:00
4:04.0,G.Antetokounmpo,2,90-103,4.0,free,throw,2,makes,Milwaukee,2022-06-14 04:04:00
4:04.0,G.Antetokounmpo,2,91-103,4.0,free,throw,2,makes,Milwaukee,2022-06-14 04:04:00
10:18.0,G.Antetokounmpo,3,5-3,1.0,2-pt,jump,16,misses,Milwaukee,2022-06-14 10:18:00
9:54.0,G.Antetokounmpo,3,7-3,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-14 09:54:00
9:52.0,G.Antetokounmpo,3,7-5,1.0,2-pt,dunk,,makes,Milwaukee,2022-06-14 09:52:00
8:57.0,G.Antetokounmpo,3,12-5,1.0,2-pt,jump,10,misses,Milwaukee,2022-06-14 08:57:00
3:00.0,G.Antetokounmpo,3,31-15,1.0,2-pt,layup,ft,misses,Milwaukee,2022-06-14 03:00:00
3:00.0,G.Antetokounmpo,3,31-15,1.0,free,throw,2,misses,Milwaukee,2022-06-14 03:00:00
3:00.0,G.Antetokounmpo,3,31-16,1.0,free,throw,2,makes,Milwaukee,2022-06-14 03:00:00
0:44.0,G.Antetokounmpo,3,35-20,1.0,2-pt,layup,10,makes,Milwaukee,2022-06-14 00:44:00
0:27.0,G.Antetokounmpo,3,35-22,1.0,2-pt,layup,3,makes,Milwaukee,2022-06-14 00:27:00
0:00.0,G.Antetokounmpo,3,35-22,1.0,3-pt,jump,36,misses,Milwaukee,2022-06-14 00:00:00
11:22.0,G.Antetokounmpo,3,65-49,3.0,free,throw,2,makes,Milwaukee,2022-06-14 11:22:00
11:22.0,G.Antetokounmpo,3,65-50,3.0,free,throw,2,makes,Milwaukee,2022-06-14 11:22:00
10:50.0,G.Antetokounmpo,3,66-52,3.0,2-pt,jump,16,makes,Milwaukee,2022-06-14 10:50:00
10:31.0,G.Antetokounmpo,3,66-54,3.0,2-pt,layup,1,makes,Milwaukee,2022-06-14 10:31:00
10:31.0,G.Antetokounmpo,3,66-55,3.0,free,throw,1,makes,Milwaukee,2022-06-14 10:31:00
10:01.0,G.Antetokounmpo,3,69-57,3.0,2-pt,dunk,1,makes,Milwaukee,2022-06-14 10:01:00
8:47.0,G.Antetokounmpo,3,71-63,3.0,free,throw,1,misses,Milwaukee,2022-06-14 08:47:00
8:47.0,G.Antetokounmpo,3,71-63,3.0,2-pt,layup,2,makes,Milwaukee,2022-06-14 08:47:00
7:57.0,G.Antetokounmpo,3,71-64,3.0,free,throw,2,makes,Milwaukee,2022-06-14 07:57:00
7:57.0,G.Antetokounmpo,3,71-65,3.0,free,throw,2,makes,Milwaukee,2022-06-14 07:57:00
7:38.0,G.Antetokounmpo,3,73-65,3.0,3-pt,jump,28,misses,Milwaukee,2022-06-14 07:38:00
1:59.0,G.Antetokounmpo,3,89-86,3.0,free,throw,2,misses,Milwaukee,2022-06-14 01:59:00
1:59.0,G.Antetokounmpo,3,89-86,3.0,free,throw,2,misses,Milwaukee,2022-06-14 01:59:00
1:20.0,G.Antetokounmpo,3,89-87,3.0,free,throw,2,makes,Milwaukee,2022-06-14 01:20:00
1:20.0,G.Antetokounmpo,3,89-88,3.0,free,throw,2,makes,Milwaukee,2022-06-14 01:20:00
0:10.0,G.Antetokounmpo,3,94-90,3.0,2-pt,dunk,2,makes,Milwaukee,2022-06-14 00:10:00
11:21.0,G.Antetokounmpo,3,96-90,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-14 11:21:00
10:51.0,G.Antetokounmpo,3,99-90,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-14 10:51:00
9:59.0,G.Antetokounmpo,3,102-90,4.0,2-pt,jump,14,misses,Milwaukee,2022-06-14 09:59:00
5:12.0,G.Antetokounmpo,3,109-98,4.0,2-pt,dunk,2,makes,Milwaukee,2022-06-14 05:12:00
4:42.0,G.Antetokounmpo,3,109-100,4.0,2-pt,dunk,1,makes,Milwaukee,2022-06-14 04:42:00
3:45.0,G.Antetokounmpo,3,109-105,4.0,2-pt,jump,14,makes,Milwaukee,2022-06-14 03:45:00
2:31.0,G.Antetokounmpo,3,111-105,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-14 02:31:00
2:31.0,G.Antetokounmpo,3,111-106,4.0,free,throw,2,makes,Milwaukee,2022-06-14 02:31:00
2:31.0,G.Antetokounmpo,3,111-107,4.0,free,throw,2,makes,Milwaukee,2022-06-14 02:31:00
1:58.0,G.Antetokounmpo,3,111-109,4.0,2-pt,dunk,3,makes,Milwaukee,2022-06-14 01:58:00
1:29.0,G.Antetokounmpo,3,111-111,4.0,free,throw,1,misses,Milwaukee,2022-06-14 01:29:00
1:29.0,G.Antetokounmpo,3,111-111,4.0,2-pt,layup,2,makes,Milwaukee,2022-06-14 01:29:00
